,lower,upper,pred,obs,type,variable
0,0.95660883,2.32763,1.6421194,1.3, Calibration,carbon
1,0.1111148,0.9402023,0.41454375,0.3, Calibration,carbon
2,0.46950227,1.594882,1.0321921,1.02, Calibration,carbon
3,0.9505423,2.3178148,1.6341785,1.41, Calibration,carbon
4,3.7134707,8.03152,5.872495,6.144072, Calibration,carbon
5,0.82205975,2.1080542,1.4650569,1.3, Calibration,carbon
6,0.029782385,1.0181023,0.49415997,0.6, Calibration,carbon
7,0.11200768,1.1672418,0.6396248,0.72, Calibration,carbon
8,0.43649834,1.5515809,0.9940396,0.77, Calibration,carbon
9,0.1486839,0.9054322,0.37837416,0.26, Calibration,carbon
10,3.8114405,8.247279,6.02936,6.443756, Calibration,carbon
11,0.58351344,1.7520866,1.1678001,1.2, Calibration,carbon
12,4.2661095,9.262522,6.7643156,7.66, Calibration,carbon
13,0.080334246,1.1330051,0.60666966,0.73, Calibration,carbon
14,0.7189758,1.9533632,1.3361695,1.8, Calibration,carbon
15,0.9111272,2.2650447,1.5880859,2.4, Calibration,carbon
16,1.5250521,3.3630495,2.4440508,2.8, Calibration,carbon
17,0.32629973,1.4134581,0.86987895,1.0, Calibration,carbon
18,1.7872287,3.882883,2.8350558,2.81, Calibration,carbon
19,1.5511594,3.413724,2.4824417,2.742, Calibration,carbon
20,0.39271873,1.496284,0.94450134,1.0, Calibration,carbon
21,0.091522336,0.9574355,0.43295658,0.3, Calibration,carbon
22,2.2641454,4.871949,3.5680473,4.0, Calibration,carbon
23,1.352919,3.033712,2.1933155,2.17, Calibration,carbon
24,0.15820917,0.89536786,0.36857936,0.2, Calibration,carbon
25,1.9936428,4.306733,3.150188,3.3737116, Calibration,carbon
26,2.2779267,4.9010525,3.5894897,4.01, Calibration,carbon
27,2.0652022,4.454318,3.2597601,3.5, Calibration,carbon
28,1.9302301,4.1742125,3.0522213,3.4, Calibration,carbon
29,4.339095,9.429007,6.884051,8.0, Calibration,carbon
