,lower,upper,pred,obs,type,variable
0,7.1915803,8.832384,8.011982,8.1,Calibration,pH
1,5.1246047,6.5103707,5.8174877,5.6,Calibration,pH
2,5.4741745,6.8912497,6.182712,6.1,Calibration,pH
3,5.1654444,6.601531,5.8834877,5.8,Calibration,pH
4,4.3943806,5.7594547,5.0769176,5.1,Calibration,pH
5,4.673431,6.0616803,5.3675556,5.3,Calibration,pH
6,4.8491664,6.242888,5.546027,5.5,Calibration,pH
7,5.151372,6.622775,5.8870735,6.0,Calibration,pH
8,4.6690774,6.0262103,5.347644,5.4,Calibration,pH
9,4.108,5.45333,4.780665,4.4,Calibration,pH
10,4.4264708,5.765277,5.095874,5.1,Calibration,pH
11,4.8185797,6.2073755,5.5129776,5.5,Calibration,pH
12,5.075088,6.534413,5.8047504,6.0,Calibration,pH
13,5.2113695,6.6564665,5.933918,5.8,Calibration,pH
14,5.163429,6.6227603,5.8930945,5.9,Calibration,pH
15,5.378281,6.845756,6.1120186,6.1,Calibration,pH
16,4.781664,6.1361103,5.458887,5.6,Calibration,pH
17,4.9302053,6.3409357,5.6355705,5.6,Calibration,pH
18,4.2370787,5.5764875,4.906783,4.7,Calibration,pH
19,5.1564684,6.6107063,5.8835874,5.9,Calibration,pH
20,4.657979,5.9957237,5.3268514,5.2,Calibration,pH
21,5.723399,7.1769238,6.4501615,6.4,Calibration,pH
22,4.802002,6.1865396,5.494271,5.5,Calibration,pH
23,5.9226756,7.414861,6.6687684,6.8,Calibration,pH
24,7.640035,9.426597,8.533316,8.8,Calibration,pH
25,5.833429,7.3414493,6.587439,6.7,Calibration,pH
26,4.9077034,6.2987823,5.603243,5.6,Calibration,pH
27,4.414016,5.7676516,5.0908337,5.1,Calibration,pH
28,4.7505717,6.1111007,5.430836,5.4,Calibration,pH
29,4.442376,5.8017197,5.122048,5.3,Calibration,pH
30,5.4145513,6.8612514,6.1379013,6.1,Calibration,pH
31,5.844083,7.3256416,6.584862,7.0,Calibration,pH
32,3.5510144,4.877909,4.214462,4.2,Calibration,pH
33,4.693055,6.0456038,5.3693295,5.4,Calibration,pH
34,5.848851,7.3293753,6.589113,6.4,Calibration,pH
35,5.407317,6.8509846,6.129151,6.3,Calibration,pH
36,4.112724,5.4328923,4.772808,4.5,Calibration,pH
37,5.7732124,7.251048,6.5121303,6.55,Calibration,pH
38,7.3487625,9.064743,8.206753,8.1,Calibration,pH
39,5.442734,6.9218893,6.1823115,6.3,Calibration,pH
40,5.0976987,6.506107,5.801903,5.7,Calibration,pH
41,5.692716,7.1498704,6.4212933,6.38,Calibration,pH
42,4.251759,5.5616517,4.9067054,4.6,Calibration,pH
43,5.8518295,7.329665,6.5907474,6.2,Calibration,pH
44,5.9984426,7.498126,6.7482843,6.7,Calibration,pH
45,4.168172,5.528859,4.8485155,4.7,Calibration,pH
46,3.960559,5.311371,4.635965,4.7,Calibration,pH
47,5.142724,6.557967,5.8503456,5.5,Calibration,pH
48,4.794636,6.197933,5.4962845,5.6,Calibration,pH
49,5.0304074,6.4181905,5.724299,5.6,Calibration,pH
50,5.321361,6.753678,6.0375195,6.0,Calibration,pH
51,4.5484123,5.8836412,5.216027,4.9,Calibration,pH
52,4.8205757,6.2481403,5.534358,5.7,Calibration,pH
53,5.7549887,7.2125635,6.483776,6.01,Calibration,pH
54,4.5913305,5.94335,5.26734,5.3,Calibration,pH
55,4.787539,6.208468,5.4980035,5.3,Calibration,pH
56,4.684992,6.0659094,5.3754506,5.4,Calibration,pH
57,6.2515244,7.7934527,7.0224886,7.0,Calibration,pH
58,5.713242,7.203838,6.45854,6.4,Calibration,pH
59,4.2622147,5.640629,4.9514217,5.0,Calibration,pH
60,4.7362685,6.118689,5.427479,5.5,Calibration,pH
61,3.4670844,4.7844176,4.125751,4.2,Calibration,pH
62,3.793562,5.0931826,4.4433722,4.6,Calibration,pH
63,6.2751656,7.807458,7.0413117,6.9,Calibration,pH
64,5.0850344,6.4662476,5.775641,5.6,Calibration,pH
65,4.934333,6.3229446,5.6286387,5.4,Calibration,pH
66,5.0755816,6.4959497,5.7857656,5.9,Calibration,pH
67,5.4470563,6.8754764,6.1612663,6.08,Calibration,pH
68,4.844366,6.2054796,5.524923,5.3,Calibration,pH
69,5.1167965,6.5120764,5.8144364,5.81,Calibration,pH
70,4.561642,5.924763,5.2432027,5.1,Calibration,pH
71,6.533326,8.14587,7.339598,7.4,Calibration,pH
72,4.3910646,5.7404013,5.065733,5.0,Calibration,pH
73,5.3692737,6.8268533,6.0980635,6.3,Calibration,pH
74,4.7669244,6.1740584,5.4704914,5.6,Calibration,pH
75,4.822436,6.1964707,5.5094533,5.6,Calibration,pH
76,7.4600034,9.191155,8.32558,8.7,Calibration,pH
77,8.09261,9.966523,9.029567,9.2,Calibration,pH
78,6.1285105,7.7191963,6.9238534,6.8,Calibration,pH
79,4.973974,6.434848,5.704411,5.6,Calibration,pH
80,5.3073497,6.7298865,6.018618,5.8,Calibration,pH
81,4.6495123,6.0055017,5.327507,5.1,Calibration,pH
82,4.155864,5.474387,4.8151255,4.8,Calibration,pH
83,5.428882,6.9153056,6.172094,6.2,Calibration,pH
84,3.6451464,4.945076,4.295111,4.2,Calibration,pH
85,4.680578,6.0669556,5.373767,5.4,Calibration,pH
86,4.9139824,6.3129187,5.6134505,5.6,Calibration,pH
87,4.885553,6.267714,5.5766335,5.5,Calibration,pH
88,4.568487,5.9246407,5.246564,5.3,Calibration,pH
89,4.999314,6.419227,5.7092705,5.7,Calibration,pH
90,4.289716,5.6255026,4.957609,4.8,Calibration,pH
91,4.735801,6.116033,5.425917,5.1,Calibration,pH
92,4.875022,6.285838,5.58043,5.5,Calibration,pH
93,5.440933,6.906726,6.1738296,6.3,Calibration,pH
94,5.899666,7.3869905,6.643328,6.3,Calibration,pH
95,5.0852995,6.538018,5.811659,5.7,Calibration,pH
96,5.5108614,6.9470186,6.22894,6.03,Calibration,pH
97,5.165699,6.6258736,5.8957863,6.2,Calibration,pH
98,4.7238274,6.0918036,5.4078155,5.2,Calibration,pH
99,4.8892074,6.2554297,5.5723186,5.4,Calibration,pH
100,5.3076353,6.72633,6.0169826,5.93,Calibration,pH
101,4.0346475,5.3341317,4.6843896,4.5,Calibration,pH
102,4.6467805,6.0398803,5.3433304,5.5,Calibration,pH
103,5.3085055,6.7262664,6.017386,6.01,Calibration,pH
104,3.758364,5.0730615,4.415713,4.3,Calibration,pH
105,6.0822067,7.617716,6.8499613,7.1,Calibration,pH
106,5.0181684,6.4072046,5.7126865,5.8,Calibration,pH
107,5.7104206,7.192115,6.4512677,5.7,Calibration,pH
108,4.3423595,5.753211,5.0477853,5.0,Calibration,pH
109,4.6443253,6.010339,5.327332,5.3,Calibration,pH
110,4.9932227,6.3949237,5.694073,5.5,Calibration,pH
111,4.644578,6.00688,5.325729,5.2,Calibration,pH
112,4.08764,5.404151,4.7458954,4.7,Calibration,pH
113,3.993303,5.2925663,4.642935,4.8,Calibration,pH
114,5.0859466,6.519798,5.802872,5.7,Calibration,pH
115,4.439334,5.8314934,5.1354136,5.4,Calibration,pH
116,4.403101,5.7382793,5.07069,5.0,Calibration,pH
117,5.7116323,7.219732,6.465682,6.4,Calibration,pH
118,5.2133145,6.61291,5.913112,5.9,Calibration,pH
119,3.6910496,4.975994,4.333522,4.3,Calibration,pH
120,4.7909884,6.193295,5.4921417,5.7,Calibration,pH
121,4.41328,5.7538667,5.0835733,5.2,Calibration,pH
122,4.3720627,5.7132025,5.0426326,4.9,Calibration,pH
123,3.0505393,4.3946137,3.7225766,3.7,Calibration,pH
124,5.716071,7.199174,6.4576225,6.5,Calibration,pH
125,4.4970555,5.8755984,5.186327,5.0,Calibration,pH
126,4.3798456,5.734583,5.0572143,4.6,Calibration,pH
127,5.382001,6.806075,6.094038,5.9,Calibration,pH
128,4.774457,6.1412134,5.457835,5.3,Calibration,pH
129,5.29028,6.71359,6.001935,6.1,Calibration,pH
130,5.3051863,6.7288857,6.017036,6.3,Calibration,pH
131,4.9462843,6.3457155,5.646,5.6,Calibration,pH
132,4.985602,6.37789,5.681746,5.7,Calibration,pH
133,5.9502883,7.4546294,6.702459,6.4,Calibration,pH
134,5.510207,6.9426155,6.2264113,6.0,Calibration,pH
135,4.8463225,6.259108,5.5527153,5.3,Calibration,pH
136,5.1459284,6.5385265,5.8422275,5.63,Calibration,pH
137,5.4360914,6.9227324,6.179412,6.2,Calibration,pH
138,4.6647887,6.0129457,5.338867,5.2,Calibration,pH
139,4.7709775,6.1601653,5.4655714,5.5,Calibration,pH
