,lower,upper,pred,obs,type,variable
0,17.127718,35.029022,26.07837,20.0, Calibration,P retention
1,8.261868,18.245346,13.253607,11.0, Calibration,P retention
2,61.581116,122.13953,91.86032,97.0, Calibration,P retention
3,18.226257,37.004856,27.615557,29.0, Calibration,P retention
4,42.93801,85.77244,64.355225,66.0, Calibration,P retention
5,15.149565,30.069662,22.609613,17.0, Calibration,P retention
6,20.7033,41.162987,30.933144,36.0, Calibration,P retention
7,5.5639477,12.965235,9.264591,5.0, Calibration,P retention
8,16.094585,31.664951,23.879768,26.727274, Calibration,P retention
9,25.469576,49.948868,37.70922,37.0, Calibration,P retention
10,10.554491,21.210857,15.882674,14.0, Calibration,P retention
11,22.256752,46.239227,34.24799,31.0, Calibration,P retention
12,1.1031287,5.337616,3.2203722,8.0, Calibration,P retention
13,29.360716,60.02603,44.693375,45.0, Calibration,P retention
14,49.69946,98.47673,74.0881,80.0, Calibration,P retention
15,35.796577,71.4626,53.62959,61.0, Calibration,P retention
16,11.658716,25.422445,18.54058,21.0, Calibration,P retention
17,17.117086,34.17637,25.646729,23.0, Calibration,P retention
18,40.775833,82.44292,61.609375,52.0, Calibration,P retention
19,12.276304,26.269926,19.273115,12.0, Calibration,P retention
20,8.542177,19.298094,13.9201355,20.0, Calibration,P retention
21,6.9098325,16.551348,11.73059,18.0, Calibration,P retention
22,8.283159,16.9396,12.61138,12.0, Calibration,P retention
23,21.641598,42.697895,32.169746,36.0, Calibration,P retention
24,16.588993,33.24581,24.917402,19.0, Calibration,P retention
25,7.880387,17.196526,12.538456,11.0, Calibration,P retention
26,11.886602,23.685099,17.78585,17.0, Calibration,P retention
27,41.914375,83.8916,62.90299,63.0, Calibration,P retention
28,14.107896,27.645855,20.876875,15.823037, Calibration,P retention
29,18.257082,37.08332,27.670202,25.0, Calibration,P retention
30,47.05297,92.64094,69.846954,68.0, Calibration,P retention
31,17.445507,34.42084,25.933174,26.0, Calibration,P retention
32,37.745056,74.43761,56.09133,63.0, Calibration,P retention
33,7.8464093,16.137894,11.992151,10.0, Calibration,P retention
34,27.914104,55.858227,41.886166,53.0, Calibration,P retention
35,13.827379,27.23483,20.531105,20.0, Calibration,P retention
36,41.454483,81.79845,61.626465,59.0, Calibration,P retention
37,45.032913,89.54021,67.28656,73.0, Calibration,P retention
38,13.947582,27.729942,20.838762,21.0, Calibration,P retention
39,16.504465,32.41619,24.460327,21.0, Calibration,P retention
40,68.533554,135.88516,102.20936,99.0, Calibration,P retention
41,34.925934,71.629875,53.277905,56.0, Calibration,P retention
42,9.910347,19.789976,14.850162,14.0, Calibration,P retention
43,37.890488,75.79584,56.843163,56.0, Calibration,P retention
44,14.525887,28.981312,21.7536,22.0, Calibration,P retention
45,14.2111,27.892107,21.051603,24.0, Calibration,P retention
46,4.7077217,11.885498,8.29661,0.01, Calibration,P retention
47,41.310127,81.73252,61.521324,66.0, Calibration,P retention
48,3.5203657,8.355538,5.937952,8.0, Calibration,P retention
49,19.215628,37.666786,28.441208,29.333332, Calibration,P retention
50,39.518387,79.49608,59.507233,61.0, Calibration,P retention
51,14.460563,28.396297,21.42843,22.0, Calibration,P retention
52,55.054775,109.32002,82.1874,97.0, Calibration,P retention
53,10.325567,22.351877,16.338722,16.0, Calibration,P retention
54,38.747414,78.00228,58.374847,56.0, Calibration,P retention
55,26.463058,52.07836,39.27071,35.0, Calibration,P retention
56,18.954512,37.14972,28.052114,32.0, Calibration,P retention
57,26.428585,52.85349,39.641037,52.0, Calibration,P retention
58,9.972178,21.593826,15.783002,14.0, Calibration,P retention
59,54.972076,108.788086,81.88008,90.0, Calibration,P retention
60,25.069817,49.75479,37.412304,37.0, Calibration,P retention
61,3.079681,7.4197526,5.2497168,7.0, Calibration,P retention
62,37.16819,74.48464,55.826416,55.0, Calibration,P retention
63,20.35215,40.395615,30.373882,31.0, Calibration,P retention
64,22.871742,45.87905,34.375397,34.0, Calibration,P retention
65,15.711881,31.75204,23.73196,25.0, Calibration,P retention
66,4.736823,10.964908,7.8508654,7.0, Calibration,P retention
67,59.965706,118.90635,89.43603,98.0, Calibration,P retention
68,48.126114,95.05557,71.59084,78.0, Calibration,P retention
69,13.146204,27.365702,20.255953,22.0, Calibration,P retention
70,40.358902,80.15449,60.256695,69.0, Calibration,P retention
71,37.105003,74.0157,55.560352,54.0, Calibration,P retention
72,28.920353,56.956562,42.938457,48.0, Calibration,P retention
73,31.855513,63.37224,47.613876,58.0, Calibration,P retention
74,9.87418,21.665974,15.770077,11.0, Calibration,P retention
75,8.597495,18.820694,13.709095,13.0, Calibration,P retention
76,25.021137,49.490444,37.25579,22.0, Calibration,P retention
77,13.257721,26.029175,19.643448,18.0, Calibration,P retention
78,27.348694,54.642174,40.995434,51.0, Calibration,P retention
79,48.937485,97.12186,73.02967,86.0, Calibration,P retention
80,14.558378,29.48924,22.02381,17.0, Calibration,P retention
81,17.550365,34.284782,25.917574,28.707071, Calibration,P retention
82,11.629676,23.757889,17.693783,13.0, Calibration,P retention
83,15.73646,30.781782,23.25912,22.0, Calibration,P retention
84,25.101112,50.835358,37.968235,54.0, Calibration,P retention
85,18.04396,35.251,26.64748,26.7498, Calibration,P retention
86,24.15663,47.383057,35.769844,32.0, Calibration,P retention
87,11.306143,22.404135,16.855139,15.0, Calibration,P retention
88,43.74476,86.33126,65.03801,73.0, Calibration,P retention
89,16.348017,32.101692,24.224854,29.0, Calibration,P retention
90,64.81074,128.53754,96.67413,99.0, Calibration,P retention
91,28.226131,55.73258,41.979355,33.0, Calibration,P retention
92,21.411476,44.040733,32.726105,37.0, Calibration,P retention
93,54.333412,108.020226,81.17682,89.0, Calibration,P retention
94,32.897575,66.454544,49.67606,55.0, Calibration,P retention
95,42.00982,84.04078,63.0253,71.0, Calibration,P retention
96,21.11205,42.023804,31.567926,30.0, Calibration,P retention
97,38.09504,75.75732,56.926178,62.0, Calibration,P retention
98,27.775263,54.761436,41.26835,38.0, Calibration,P retention
99,14.899664,29.53362,22.216642,22.0, Calibration,P retention
100,20.418718,41.21685,30.817785,37.0, Calibration,P retention
101,15.374682,30.637173,23.005928,21.0, Calibration,P retention
102,39.31019,77.66604,58.488113,57.0, Calibration,P retention
103,16.8406,34.67668,25.75864,25.0, Calibration,P retention
104,13.3907585,26.930264,20.160511,17.0, Calibration,P retention
105,30.187706,62.148987,46.168346,48.0, Calibration,P retention
106,16.69642,33.56289,25.129656,21.0, Calibration,P retention
107,26.211048,54.05579,40.13342,34.0, Calibration,P retention
