,upper,lower,pred,obs,type,variable
1,2.408508145,0.177154459,1.2928313,1.3, Calibration,carbon
10,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
19,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
28,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
37,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
46,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
55,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
64,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
73,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
82,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
91,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
100,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
109,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
118,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
127,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
136,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
145,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
154,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
163,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
172,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
181,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
190,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
199,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
208,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
217,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
226,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
235,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
244,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
253,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
262,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
271,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
280,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
289,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
298,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
307,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
316,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
325,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
334,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
343,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
352,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
361,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
370,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
379,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
388,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
397,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
406,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
415,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
424,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
433,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
442,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
451,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
460,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
469,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
478,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
487,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
496,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
505,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
514,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
523,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
532,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
541,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
550,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
559,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
568,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
577,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
586,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
595,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
604,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
613,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
622,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
631,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
640,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
649,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
658,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
667,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
676,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
685,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
694,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
703,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
712,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
721,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
730,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
739,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
748,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
757,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
766,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
775,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
784,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
793,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
802,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
811,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
820,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
829,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
838,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
847,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
856,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
865,1.433825146,0.117296327,0.77556074,0.3, Calibration,carbon
