,lower,upper,pred,obs,type,variable
0,53.022984,83.60086,68.31192,34.65, Calibration,clay
1,30.104681,63.650665,46.877674,55.04, Calibration,clay
2,29.795555,60.88105,45.338303,43.02, Calibration,clay
3,31.32029,64.400925,47.860607,59.73, Calibration,clay
4,9.050238,29.52886,19.289549,12.0, Calibration,clay
5,19.259802,47.05252,33.156162,37.5, Calibration,clay
6,1.5127268,10.007867,5.760297,2.0, Calibration,clay
7,5.6406255,21.293678,13.467152,8.0, Calibration,clay
8,9.11203,29.401909,19.25697,20.0, Calibration,clay
9,1.3096244,9.002894,5.1562595,1.0, Calibration,clay
10,3.7456207,15.319239,9.53243,4.19, Calibration,clay
11,2.1881495,11.861586,7.0248675,7.81, Calibration,clay
12,16.96693,43.79632,30.381626,35.61, Calibration,clay
13,9.8620615,31.318115,20.590088,22.0, Calibration,clay
14,10.896937,32.362125,21.629532,19.0, Calibration,clay
15,0.84721184,6.8894887,3.8683503,2.0, Calibration,clay
16,2.5683637,14.861404,8.714884,12.0, Calibration,clay
17,33.645226,66.02598,49.8356,47.0, Calibration,clay
18,2.1014829,11.444345,6.7729144,7.84, Calibration,clay
19,25.061493,56.184105,40.6228,46.23, Calibration,clay
20,0.402066,5.359227,2.8806465,0.01, Calibration,clay
21,0.81863356,7.296271,4.057452,5.0, Calibration,clay
22,8.661376,28.46959,18.565483,19.0, Calibration,clay
23,2.1542487,11.170219,6.6622343,4.0, Calibration,clay
24,2.5394912,11.677345,7.108418,11.75, Calibration,clay
25,2.209857,11.608316,6.9090867,2.0, Calibration,clay
26,24.333797,55.348057,39.840927,59.0, Calibration,clay
27,16.045204,42.102432,29.073818,28.0, Calibration,clay
28,11.886251,34.581497,23.233875,22.0, Calibration,clay
29,22.343529,52.366745,37.355137,50.0, Calibration,clay
30,18.556944,46.379486,32.468216,36.0, Calibration,clay
31,0.41663408,5.4590816,2.9378579,1.0, Calibration,clay
32,18.260344,47.322235,32.79129,19.0, Calibration,clay
33,0.05042255,3.9263973,1.98841,0.01, Calibration,clay
34,26.8847,57.080624,41.982662,44.1, Calibration,clay
35,13.027353,37.07537,25.051363,33.06, Calibration,clay
36,11.301276,33.716164,22.50872,19.42, Calibration,clay
37,9.48486,29.83117,19.658014,10.0, Calibration,clay
38,13.682391,38.015114,25.848753,24.0, Calibration,clay
39,0.07737875,3.5338902,1.8056345,0.01, Calibration,clay
40,13.683851,39.100616,26.392235,19.48, Calibration,clay
41,22.674265,52.174652,37.424458,39.0, Calibration,clay
42,2.9823847,15.765851,9.374118,11.0, Calibration,clay
43,2.408514,12.223962,7.316238,6.0, Calibration,clay
44,15.111846,40.9733,28.042574,23.08, Calibration,clay
45,10.972045,33.13502,22.053534,22.0, Calibration,clay
46,11.799934,34.30557,23.052752,25.0, Calibration,clay
47,16.424679,42.47383,29.449255,27.0, Calibration,clay
48,4.4772816,17.025883,10.751582,10.0, Calibration,clay
49,6.1093683,22.425701,14.267534,14.0, Calibration,clay
50,7.0772905,24.410038,15.743665,13.93, Calibration,clay
51,9.179468,29.608519,19.393993,16.0, Calibration,clay
52,9.923758,30.229944,20.07685,20.0, Calibration,clay
53,40.01741,72.6396,56.328506,59.21, Calibration,clay
54,12.500262,35.955734,24.227999,22.0, Calibration,clay
55,1.2996666,7.958379,4.6290226,11.0, Calibration,clay
56,0.23170972,5.464736,2.8482227,0.01, Calibration,clay
57,5.5917606,22.087631,13.839696,14.0, Calibration,clay
58,14.979969,40.970467,27.975218,51.0, Calibration,clay
59,35.503914,66.64006,51.071987,50.0, Calibration,clay
60,1.4062252,9.905389,5.655807,4.0, Calibration,clay
61,22.979076,52.952038,37.965557,36.0, Calibration,clay
62,5.6065636,22.979471,14.293017,17.0, Calibration,clay
63,18.219437,46.129364,32.1744,30.57, Calibration,clay
64,4.9714093,19.098867,12.035138,14.0, Calibration,clay
65,2.6798868,12.304989,7.492438,13.18, Calibration,clay
