"","X","upper","lower","pred","obs","type","variable"
"2",0,9.96239294102846,5.99705491968931,7.979724,8.1,"Calibration","pH"
"11",1,6.61916568356065,4.50019428653212,5.55968,5.6,"Calibration","pH"
"20",2,7.41644850048949,4.88357267108033,6.1500106,6.1,"Calibration","pH"
"29",3,6.89122530987073,4.57614758441638,5.7336864,5.8,"Calibration","pH"
"38",4,6.0343910123522,4.2731565569227,5.153774,5.1,"Calibration","pH"
"47",5,6.23879953339784,4.35962347075255,5.2992115,5.3,"Calibration","pH"
"56",6,6.54110000868277,4.43815185288949,5.489626,5.5,"Calibration","pH"
"65",7,6.97233923461283,4.67427197907125,5.8233056,6,"Calibration","pH"
"74",8,6.43879914964747,4.44175409589697,5.4402766,5.4,"Calibration","pH"
"83",9,5.11583523419973,3.80064864488962,4.458242,4.4,"Calibration","pH"
"92",10,5.78020503499918,4.16053364297934,4.9703693,5.1,"Calibration","pH"
"101",11,6.60303774662049,4.466477481651,5.5347576,5.5,"Calibration","pH"
"110",12,6.43048060717907,4.43949734387073,5.434989,6,"Calibration","pH"
"119",13,6.84224617476044,4.62348544602813,5.732866,5.8,"Calibration","pH"
"128",14,6.90757963592519,4.6566112286378,5.7820954,5.9,"Calibration","pH"
"137",15,7.15736693965636,4.68502121341981,5.921194,6.1,"Calibration","pH"
"146",16,6.68301840170449,4.38406495706016,5.5335417,5.6,"Calibration","pH"
"155",17,6.44194242546561,4.42213991096017,5.432041,5.6,"Calibration","pH"
"164",18,5.58205047977398,4.05503734218647,4.818544,4.7,"Calibration","pH"
"173",19,6.99849287054298,4.62560590722802,5.8120494,5.9,"Calibration","pH"
"182",20,6.13579442797973,4.31922552288696,5.22751,5.2,"Calibration","pH"
"191",21,7.6173856846541,4.98065012772383,6.299018,6.4,"Calibration","pH"
"200",22,6.52377209640247,4.45572581314343,5.489749,5.5,"Calibration","pH"
"209",23,7.99664452212974,5.13003108364419,6.563338,6.8,"Calibration","pH"
"218",24,10.9988198731462,6.34450097341139,8.67166,8.8,"Calibration","pH"
"227",25,8.18038550663486,5.23919590663418,6.7097907,6.7,"Calibration","pH"
"236",26,6.54782979609013,4.50152571080684,5.5246778,5.6,"Calibration","pH"
"245",27,6.08004039971745,4.28288608343684,5.1814632,5.1,"Calibration","pH"
"254",28,6.53819729710007,4.43503401851273,5.4866157,5.4,"Calibration","pH"
"263",29,6.07292723169325,4.28867269048692,5.1808,5.3,"Calibration","pH"
"272",30,7.23278097032544,4.78319212080005,6.0079865,6.1,"Calibration","pH"
"281",31,8.27472009807501,5.22067746967401,6.747699,7,"Calibration","pH"
"290",32,4.92077824952344,3.66090586302539,4.290842,4.2,"Calibration","pH"
"299",33,6.32981358404052,4.36200751428711,5.3459105,5.4,"Calibration","pH"
"308",34,7.57028034426786,4.96020385525606,6.265242,6.4,"Calibration","pH"
"317",35,7.60922056467193,5.00748246877534,6.3083515,6.3,"Calibration","pH"
"326",36,5.22774708900184,3.87995898094445,4.553853,4.5,"Calibration","pH"
"335",37,7.98232918277077,5.14594954952904,6.5641394,6.55,"Calibration","pH"
"344",38,10.3718768341444,6.16461074520129,8.268244,8.1,"Calibration","pH"
"353",39,7.52953887336778,4.95385574943495,6.2416973,6.3,"Calibration","pH"
"362",40,6.8098009823207,4.59529793277939,5.7025495,5.7,"Calibration","pH"
"371",41,7.84853171983471,5.10082531294117,6.4746785,6.38,"Calibration","pH"
"380",42,5.59400778515136,4.06860894458496,4.8313084,4.6,"Calibration","pH"
"389",43,7.57179458577104,4.9487618641191,6.260278,6.2,"Calibration","pH"
"398",44,8.34298435418895,5.2442234400005,6.793604,6.7,"Calibration","pH"
"407",45,5.51316980195202,4.03289934325061,4.7730346,4.7,"Calibration","pH"
"416",46,5.38380518708518,3.95495423521707,4.6693797,4.7,"Calibration","pH"
"425",47,6.57612494346352,4.49126073005943,5.533693,5.5,"Calibration","pH"
"434",48,6.401485262887,4.36417311571407,5.382829,5.6,"Calibration","pH"
"443",49,6.83500586992859,4.61997211926819,5.727489,5.6,"Calibration","pH"
"452",50,7.24177339766997,4.8016931703232,6.0217333,6,"Calibration","pH"
"461",51,5.89149530736664,4.19243756922027,5.0419664,4.9,"Calibration","pH"
"470",52,6.64018341836632,4.3740244215995,5.507104,5.7,"Calibration","pH"
"479",53,7.59575478588245,4.96527083362438,6.280513,6.01,"Calibration","pH"
"488",54,6.17201077878059,4.33528769076287,5.253649,5.3,"Calibration","pH"
"497",55,6.29636867427015,4.3126544199071,5.3045115,5.3,"Calibration","pH"
"506",56,6.48418366305498,4.3946167290959,5.4394,5.4,"Calibration","pH"
"515",57,8.48647211927411,5.37680340867999,6.931638,7,"Calibration","pH"
"524",58,7.65179214310215,4.97733631301357,6.314564,6.4,"Calibration","pH"
"533",59,5.92001823080809,4.21966644631593,5.0698423,5,"Calibration","pH"
"542",60,6.38130307977834,4.40908884221873,5.395196,5.5,"Calibration","pH"
"551",61,4.73340943064025,3.5931372383661,4.1632733,4.2,"Calibration","pH"
"560",62,5.41225146405132,3.94363404162495,4.6779428,4.6,"Calibration","pH"
"569",63,8.65666193943199,5.38148884792153,7.0190754,6.9,"Calibration","pH"
"578",64,6.72357544937726,4.57066740950946,5.6471214,5.6,"Calibration","pH"
"587",65,6.36941854088948,4.40083082587078,5.3851247,5.4,"Calibration","pH"
"596",66,6.88083509332003,4.51603265875516,5.698434,5.9,"Calibration","pH"
"605",67,7.27506401793641,4.81112715943176,6.0430956,6.08,"Calibration","pH"
"614",68,6.31336251713427,4.3795419552168,5.346452,5.3,"Calibration","pH"
"623",69,7.09918616119267,4.7335002630627,5.916343,5.81,"Calibration","pH"
"632",70,5.91105327606043,4.21673622131506,5.0638947,5.1,"Calibration","pH"
"641",71,9.30786524278068,5.66278256910897,7.485324,7.4,"Calibration","pH"
"650",72,5.94244560371622,4.17603126395956,5.0592384,5,"Calibration","pH"
"659",73,7.47719814395655,4.91015575313818,6.193677,6.3,"Calibration","pH"
