,lower,upper,pred,obs,type,variable
0,17.520176,35.55815505981445,26.539165496826172,20.0, Calibration,P retention
1,5.5539865,20.754196166992188,13.154091835021973,11.0, Calibration,P retention
2,96.547714,99.5,98.78819274902344,97.0, Calibration,P retention
3,24.286781,40.18540954589844,32.2360954284668,29.0, Calibration,P retention
4,59.132393,72.10356903076172,65.61798095703125,66.0, Calibration,P retention
5,10.007331,26.035869598388672,18.0216007232666,17.0, Calibration,P retention
6,31.768072,43.59953689575195,37.68380355834961,36.0, Calibration,P retention
7,1.9115415,16.503629684448242,9.207585334777832,5.0, Calibration,P retention
8,21.720871,34.21371841430664,27.967294692993164,26.727274, Calibration,P retention
9,35.28343,46.17588424682617,40.72965621948242,37.0, Calibration,P retention
10,9.6774845,25.88359260559082,17.78053855895996,14.0, Calibration,P retention
11,22.656939,39.285987854003906,30.971464157104492,31.0, Calibration,P retention
12,1.951119,15.625362396240234,8.788240432739258,8.0, Calibration,P retention
13,41.504948,51.440616607666016,46.472782135009766,45.0, Calibration,P retention
14,71.25745,89.01832580566406,80.13788604736328,80.0, Calibration,P retention
15,57.01123,64.90054321289062,60.95588684082031,61.0, Calibration,P retention
16,13.7901535,29.845111846923828,21.8176326751709,21.0, Calibration,P retention
17,21.273956,34.702083587646484,27.988019943237305,23.0, Calibration,P retention
18,48.78258,61.867610931396484,55.325096130371094,52.0, Calibration,P retention
19,7.447076,28.993022918701172,18.220048904418945,12.0, Calibration,P retention
20,6.463478,22.89520835876465,14.679343223571777,20.0, Calibration,P retention
21,3.7056537,19.680011749267578,11.692832946777344,18.0, Calibration,P retention
22,6.0863705,20.52448081970215,13.305425643920898,12.0, Calibration,P retention
23,31.906576,43.489322662353516,37.69794845581055,36.0, Calibration,P retention
24,13.927864,30.122962951660156,22.025413513183594,19.0, Calibration,P retention
25,7.1046658,23.596242904663086,15.350454330444336,11.0, Calibration,P retention
26,11.96297,24.670063018798828,18.316516876220703,17.0, Calibration,P retention
27,59.057,72.54102325439453,65.79901123046875,63.0, Calibration,P retention
28,12.867102,25.890626907348633,19.378864288330078,15.823037, Calibration,P retention
29,19.6428,33.98563003540039,26.8142147064209,25.0, Calibration,P retention
30,57.074913,74.7866439819336,65.93077850341797,68.0, Calibration,P retention
31,23.387497,35.746463775634766,29.566980361938477,26.0, Calibration,P retention
32,56.013435,71.20883178710938,63.61113357543945,63.0, Calibration,P retention
33,5.2002006,19.73067855834961,12.465439796447754,10.0, Calibration,P retention
34,46.1384,58.088932037353516,52.11366653442383,53.0, Calibration,P retention
35,14.521715,29.291166305541992,21.90644073486328,20.0, Calibration,P retention
36,56.0303,65.87120819091797,60.95075225830078,59.0, Calibration,P retention
37,67.491394,85.11372375488281,76.30255889892578,73.0, Calibration,P retention
38,15.287682,29.86355209350586,22.57561683654785,21.0, Calibration,P retention
39,18.28115,30.84832763671875,24.564739227294922,21.0, Calibration,P retention
40,88.29138,99.5,94.36712646484375,99.0, Calibration,P retention
41,50.813156,68.17655944824219,59.49485778808594,56.0, Calibration,P retention
42,5.8215356,19.091495513916016,12.456515312194824,14.0, Calibration,P retention
43,53.17434,67.83123016357422,60.502784729003906,56.0, Calibration,P retention
44,15.290834,31.344545364379883,23.317689895629883,22.0, Calibration,P retention
45,18.595507,32.395599365234375,25.495553970336914,24.0, Calibration,P retention
46,1.2411671,13.715472221374512,6.237152576446533,0.01, Calibration,P retention
47,56.827583,70.0551986694336,63.44139099121094,66.0, Calibration,P retention
48,3.8281398,16.052112579345703,9.940126419067383,8.0, Calibration,P retention
49,26.104229,37.02644348144531,31.565336227416992,29.333332, Calibration,P retention
50,55.793835,66.5323715209961,61.16310119628906,61.0, Calibration,P retention
51,17.74438,29.191444396972656,23.467912673950195,22.0, Calibration,P retention
52,89.96077,99.5,95.27792358398438,97.0, Calibration,P retention
53,7.6008253,25.785999298095703,16.69341278076172,16.0, Calibration,P retention
54,52.084103,61.4704475402832,56.77727508544922,56.0, Calibration,P retention
55,33.334564,42.80511474609375,38.06983947753906,35.0, Calibration,P retention
56,24.83466,35.29954528808594,30.067102432250977,32.0, Calibration,P retention
57,46.94434,59.48640060424805,53.215370178222656,52.0, Calibration,P retention
58,6.3623495,22.745319366455078,14.553833961486816,14.0, Calibration,P retention
59,79.63053,97.49048614501953,88.56050872802734,90.0, Calibration,P retention
60,37.48971,46.16049575805664,41.825103759765625,37.0, Calibration,P retention
61,0.86158705,12.56064224243164,6.711114883422852,7.0, Calibration,P retention
62,48.175014,62.0982551574707,55.136634826660156,55.0, Calibration,P retention
63,28.616793,39.64878463745117,34.132789611816406,31.0, Calibration,P retention
64,29.186184,41.236515045166016,35.21134948730469,34.0, Calibration,P retention
65,16.077986,31.803010940551758,23.94049835205078,25.0, Calibration,P retention
66,3.3454561,18.777328491210938,11.061391830444336,7.0, Calibration,P retention
67,93.02879,99.5,97.46984100341797,98.0, Calibration,P retention
68,65.30239,84.54584503173828,74.92411804199219,78.0, Calibration,P retention
69,14.458042,29.326519012451172,21.89228057861328,22.0, Calibration,P retention
70,58.84129,73.2970199584961,66.06915283203125,69.0, Calibration,P retention
71,50.037888,59.500709533691406,54.7692985534668,54.0, Calibration,P retention
72,38.287075,49.98196792602539,44.134521484375,48.0, Calibration,P retention
73,55.29448,64.7419662475586,60.01822280883789,58.0, Calibration,P retention
74,6.2254133,21.415752410888672,13.82058334350586,11.0, Calibration,P retention
75,6.794341,22.840843200683594,14.817591667175293,13.0, Calibration,P retention
76,22.500254,37.209007263183594,29.854631423950195,22.0, Calibration,P retention
77,14.289864,28.978851318359375,21.634357452392578,18.0, Calibration,P retention
78,46.009197,58.310733795166016,52.15996551513672,51.0, Calibration,P retention
79,69.7623,90.33169555664062,80.0469970703125,86.0, Calibration,P retention
80,12.669327,28.10141372680664,20.3853702545166,17.0, Calibration,P retention
81,23.02776,35.30020523071289,29.163982391357422,28.707071, Calibration,P retention
82,6.8819485,23.12503433227539,15.003491401672363,13.0, Calibration,P retention
83,19.255074,34.58671188354492,26.9208927154541,22.0, Calibration,P retention
84,48.06976,62.65848159790039,55.36412048339844,54.0, Calibration,P retention
85,21.2144,34.18212890625,27.698265075683594,26.7498, Calibration,P retention
86,29.417042,38.98404312133789,34.20054244995117,32.0, Calibration,P retention
87,8.162646,21.869441986083984,15.016044616699219,15.0, Calibration,P retention
88,65.09245,80.18006896972656,72.63626098632812,73.0, Calibration,P retention
89,25.50162,38.282630920410156,31.892126083374023,29.0, Calibration,P retention
90,93.92656,99.5,97.96163940429688,99.0, Calibration,P retention
91,29.729969,42.68607711791992,36.20802307128906,33.0, Calibration,P retention
92,31.62959,48.9389762878418,40.28428268432617,37.0, Calibration,P retention
93,73.707825,90.41453552246094,82.0611801147461,89.0, Calibration,P retention
94,46.711216,65.03170776367188,55.8714599609375,55.0, Calibration,P retention
95,62.855915,77.08447265625,69.9701919555664,71.0, Calibration,P retention
96,24.585058,36.36232376098633,30.473691940307617,30.0, Calibration,P retention
97,58.72696,75.28901672363281,67.00798797607422,62.0, Calibration,P retention
98,36.15428,47.75585174560547,41.9550666809082,38.0, Calibration,P retention
99,19.217245,33.67910385131836,26.44817352294922,22.0, Calibration,P retention
100,29.721642,42.906776428222656,36.314208984375,37.0, Calibration,P retention
101,18.119959,32.12392044067383,25.121938705444336,21.0, Calibration,P retention
102,50.84137,65.60391235351562,58.22264099121094,57.0, Calibration,P retention
103,16.953041,33.11039733886719,25.031719207763672,25.0, Calibration,P retention
104,9.899218,26.695554733276367,18.297386169433594,17.0, Calibration,P retention
105,45.16674,60.913795471191406,53.04026794433594,48.0, Calibration,P retention
106,16.855549,32.501136779785156,24.678342819213867,21.0, Calibration,P retention
107,33.867886,44.44813919067383,39.15801239013672,34.0, Calibration,P retention
108,11.961215,26.632366180419922,19.296791076660156,16.848486, Calibration,P retention
109,36.69746,47.72956466674805,42.2135124206543,43.0, Calibration,P retention
110,23.369804,38.86818313598633,31.118993759155273,33.255543, Calibration,P retention
111,16.523697,32.15744400024414,24.3405704498291,22.0, Calibration,P retention
112,51.33075,64.17236328125,57.751556396484375,58.0, Calibration,P retention
113,12.708148,34.34235382080078,23.525251388549805,20.0, Calibration,P retention
114,75.780655,91.38194274902344,83.581298828125,81.0, Calibration,P retention
115,96.04539,99.5,98.87332153320312,98.0, Calibration,P retention
116,15.762194,30.159910202026367,22.96105194091797,17.0, Calibration,P retention
117,53.111122,67.71121978759766,60.411170959472656,62.0, Calibration,P retention
118,87.51207,99.5,93.81563568115234,86.0, Calibration,P retention
119,20.662453,35.42531204223633,28.043882369995117,24.0, Calibration,P retention
120,62.643944,78.38256072998047,70.51325225830078,73.0, Calibration,P retention
121,7.9566054,23.86451530456543,15.910560607910156,18.0, Calibration,P retention
122,24.110245,36.005496978759766,30.057870864868164,29.0, Calibration,P retention
123,81.61204,96.78833770751953,89.20018768310547,93.0, Calibration,P retention
124,53.935356,70.72123718261719,62.32829666137695,53.0, Calibration,P retention
125,29.735798,40.84078598022461,35.288291931152344,29.0, Calibration,P retention
126,9.806434,25.16907501220703,17.487754821777344,15.0, Calibration,P retention
127,9.979691,24.224815368652344,17.102252960205078,18.0, Calibration,P retention
128,25.94372,38.22111892700195,32.082420349121094,30.0, Calibration,P retention
129,9.023239,23.89604949951172,16.459644317626953,18.0, Calibration,P retention
130,67.19085,83.88362884521484,75.53723907470703,76.0, Calibration,P retention
131,64.98313,79.9554672241211,72.46929931640625,72.0, Calibration,P retention
132,13.239275,29.259714126586914,21.249494552612305,20.0, Calibration,P retention
133,38.750916,48.575782775878906,43.66334915161133,43.0, Calibration,P retention
134,50.775208,68.17344665527344,59.474327087402344,60.0, Calibration,P retention
135,52.08345,69.27056121826172,60.677005767822266,58.0, Calibration,P retention
136,10.941574,27.68204116821289,19.31180763244629,22.0, Calibration,P retention
137,20.769531,32.73069381713867,26.750112533569336,22.0, Calibration,P retention
138,29.916033,39.76457214355469,34.840301513671875,34.0, Calibration,P retention
139,23.563221,35.8177375793457,29.690479278564453,26.0, Calibration,P retention
140,6.013295,21.764503479003906,13.888898849487305,13.0, Calibration,P retention
141,59.610603,72.75797271728516,66.18428802490234,66.0, Calibration,P retention
142,3.5617537,15.958843231201172,9.760298728942871,11.0, Calibration,P retention
143,41.54243,53.0131721496582,47.277801513671875,45.0, Calibration,P retention
144,19.777699,32.7297477722168,26.25372314453125,23.0, Calibration,P retention
145,44.5706,59.51156997680664,52.04108428955078,50.0, Calibration,P retention
146,54.33831,64.5855484008789,59.46192932128906,59.0, Calibration,P retention
147,11.33605,27.000185012817383,19.16811752319336,20.0, Calibration,P retention
148,56.027035,71.57475280761719,63.8008918762207,73.0, Calibration,P retention
149,65.247536,82.47615814208984,73.86184692382812,73.0, Calibration,P retention
150,10.474253,30.31740379333496,20.395828247070312,22.0, Calibration,P retention
151,0.058426857,10.364619255065918,5.211523056030273,2.0, Calibration,P retention
