,lower,upper,pred,obs,type,variable
0,0.20774508,7.654596328735352,3.9311707,22.489998, Calibration,sand
1,0.49424362,8.798066139221191,4.646155,5.209999, Calibration,sand
2,1.9345427,16.80673599243164,9.370639,7.209999, Calibration,sand
3,0.12275314,11.336153984069824,5.7294536,0.01, Calibration,sand
4,8.256414,48.97227478027344,28.614346,30.489998, Calibration,sand
5,2.1951752,18.670381546020508,10.432778,4.209999, Calibration,sand
6,30.696028,74.52301025390625,52.60952,51.56, Calibration,sand
7,1.6913328,21.689865112304688,11.6905985,31.629997, Calibration,sand
8,6.8988085,37.08855438232422,21.993681,19.0, Calibration,sand
9,82.28809,98.90241241455078,90.59525,92.0, Calibration,sand
10,61.644833,93.19969940185547,77.422264,81.42, Calibration,sand
11,36.362137,77.59820556640625,56.98017,53.24, Calibration,sand
12,1.5165644,19.004741668701172,10.2606535,8.349998, Calibration,sand
13,2.769371,22.555908203125,12.66264,12.0, Calibration,sand
14,8.608734,40.050899505615234,24.329817,28.0, Calibration,sand
15,79.036865,99.54965209960938,89.29326,90.84, Calibration,sand
16,53.014835,88.87478637695312,70.94481,71.42, Calibration,sand
17,0.06347418,13.773277282714844,6.8549013,7.42, Calibration,sand
18,19.797194,59.80364227294922,39.80042,30.61, Calibration,sand
19,2.6470575,20.22079849243164,11.4339285,11.349998, Calibration,sand
20,90.668564,99.9,95.7371,99.21, Calibration,sand
21,56.954247,89.2704849243164,73.112366,58.7, Calibration,sand
22,15.244986,51.05170440673828,33.148346,35.120003, Calibration,sand
23,28.561855,71.74761962890625,50.154736,32.47, Calibration,sand
24,33.52375,75.69857025146484,54.61116,57.98, Calibration,sand
25,75.95799,98.86907958984375,87.413536,96.21, Calibration,sand
26,0.3012507,7.725983619689941,4.013617,3.0, Calibration,sand
27,1.420208,17.83680534362793,9.628507,7.0, Calibration,sand
28,11.453098,44.80534744262695,28.129223,30.0, Calibration,sand
29,0.25078487,7.267100811004639,3.7589428,2.0699997, Calibration,sand
30,4.092664,27.6923828125,15.892523,5.209999, Calibration,sand
31,90.36267,99.9,95.95872,94.28, Calibration,sand
32,1.1672316,18.671764373779297,9.9194975,8.419998, Calibration,sand
33,92.98363,99.9,96.8426,98.07, Calibration,sand
34,2.4169397,21.098224639892578,11.757582,11.489998, Calibration,sand
35,17.31078,55.62418746948242,36.467484,34.866997, Calibration,sand
36,11.678007,44.31391143798828,27.99596,38.56, Calibration,sand
37,49.024307,87.30508422851562,68.164696,71.0, Calibration,sand
38,6.18966,33.57609176635742,19.882875,18.0, Calibration,sand
39,69.04738,95.5372314453125,82.292305,99.14, Calibration,sand
40,2.5987272,25.81112289428711,14.204925,21.559998, Calibration,sand
41,1.4750009,16.868791580200195,9.171896,7.0, Calibration,sand
42,3.716465,28.81139373779297,16.26393,30.699997, Calibration,sand
43,3.362112,24.9415283203125,14.15182,3.209999, Calibration,sand
44,2.179821,21.125965118408203,11.652893,17.629997, Calibration,sand
45,1.6271095,19.642866134643555,10.634988,11.0, Calibration,sand
46,5.5331373,32.71795654296875,19.125547,14.0, Calibration,sand
47,3.2933435,26.55377960205078,14.923561,15.0, Calibration,sand
48,9.25268,42.87419891357422,26.06344,29.19, Calibration,sand
49,15.364548,51.22759246826172,33.29607,40.96, Calibration,sand
50,21.575966,60.90734100341797,41.241653,44.63, Calibration,sand
51,0.04566717,13.309417724609375,6.6318755,23.489998, Calibration,sand
52,4.981637,29.368621826171875,17.175129,27.77, Calibration,sand
53,0.45201063,9.641468048095703,5.0467396,6.209999, Calibration,sand
54,3.8052254,27.663246154785156,15.734236,22.0, Calibration,sand
55,51.528805,88.62509155273438,70.07695,60.49, Calibration,sand
56,94.789795,99.9,97.69255,98.313, Calibration,sand
57,14.175022,49.92612838745117,32.050575,34.05, Calibration,sand
58,1.6336222,14.294191360473633,7.963907,2.0699997, Calibration,sand
59,0.24511051,16.81769561767578,8.531404,6.209999, Calibration,sand
60,53.610184,90.83283996582031,72.22151,70.35, Calibration,sand
61,0.5090389,11.224514961242676,5.866777,4.209999, Calibration,sand
62,5.4756527,38.427024841308594,21.951338,23.769997, Calibration,sand
63,7.9142914,36.894840240478516,22.404566,32.559998, Calibration,sand
64,25.093462,67.27965545654297,46.186558,40.47, Calibration,sand
65,29.710634,71.75557708740234,50.733105,47.84, Calibration,sand
66,2.8519945,21.043712615966797,11.947854,19.559998, Calibration,sand
67,32.880836,75.63673400878906,54.258785,67.049995, Calibration,sand
68,4.22688,26.773075103759766,15.499977,19.0, Calibration,sand
69,8.216763,38.754920959472656,23.485842,17.559998, Calibration,sand
70,0.6753197,12.701825141906738,6.6885724,4.279999, Calibration,sand
71,0.25074458,8.000409126281738,3.8748324,0.314003, Calibration,sand
72,70.94556,96.75532531738281,83.85044,85.0, Calibration,sand
73,6.134907,39.145259857177734,22.640083,24.050003, Calibration,sand
74,0.50481033,15.624521255493164,8.064666,5.737999, Calibration,sand
75,5.749464,33.631561279296875,19.690514,14.699997, Calibration,sand
76,56.570396,88.72179412841797,72.646095,70.42, Calibration,sand
77,4.9648657,29.958030700683594,17.461449,13.699997, Calibration,sand
78,18.982965,58.81683349609375,38.8999,58.63, Calibration,sand
79,7.250779,36.748046875,21.999413,12.279999, Calibration,sand
80,52.859715,88.00965881347656,70.434685,68.0, Calibration,sand
81,14.093029,48.160343170166016,31.126686,19.050003, Calibration,sand
82,23.50277,67.25291442871094,45.377842,43.19, Calibration,sand
83,1.5833225,17.98571014404297,9.784516,5.209999, Calibration,sand
84,2.9327707,19.712894439697266,11.322833,11.0, Calibration,sand
85,2.3130865,24.728721618652344,13.520905,15.489998, Calibration,sand
86,1.145381,15.467473030090332,8.306427,3.14, Calibration,sand
87,1.7953434,17.228864669799805,9.512104,7.279999, Calibration,sand
88,77.47139,99.24351501464844,88.35745,92.952, Calibration,sand
89,2.9629536,24.183364868164062,13.573159,32.629997, Calibration,sand
90,29.14561,71.90071105957031,50.523163,40.17, Calibration,sand
91,0.17322731,22.259069442749023,11.216148,4.7490005, Calibration,sand
92,0.9482932,16.39543342590332,8.671864,11.0, Calibration,sand
93,7.2016096,34.00296401977539,20.602287,22.629997, Calibration,sand
94,1.670517,20.211008071899414,10.9407625,10.489998, Calibration,sand
95,4.882084,27.69229507446289,16.28719,24.419998, Calibration,sand
96,30.832245,72.25505065917969,51.543648,72.049995, Calibration,sand
97,4.637808,26.633214950561523,15.635511,23.629997, Calibration,sand
98,39.924644,81.03147888183594,60.47806,67.049995, Calibration,sand
99,0.95921516,12.066523551940918,6.5128694,10.0, Calibration,sand
100,11.704201,43.71696090698242,27.71058,24.839996, Calibration,sand
101,70.14928,96.67927551269531,83.414276,89.0, Calibration,sand
102,9.40949,41.23738479614258,25.323437,26.0, Calibration,sand
103,1.802289,18.057880401611328,9.930085,22.980003, Calibration,sand
104,1.3248143,15.078290939331055,8.201552,2.1399994, Calibration,sand
105,3.9938145,32.35541534423828,18.174616,22.629997, Calibration,sand
106,2.6795473,19.186229705810547,10.932889,20.0, Calibration,sand
107,87.40499,99.9,94.54666,97.868, Calibration,sand
108,64.08712,94.0986099243164,79.092865,71.49, Calibration,sand
109,0.5417974,7.692981719970703,3.5755923,2.0699997, Calibration,sand
110,3.515499,34.1614990234375,18.8385,20.839996, Calibration,sand
111,20.669575,61.348636627197266,41.009106,49.91, Calibration,sand
112,64.81985,94.45455169677734,79.6372,61.28, Calibration,sand
113,0.20154858,9.553672790527344,4.8776107,17.163002, Calibration,sand
114,1.9809198,28.173778533935547,15.07735,17.769997, Calibration,sand
115,0.86790705,14.270498275756836,7.5692024,7.209999, Calibration,sand
116,2.455041,22.60055160522461,12.527796,12.489998, Calibration,sand
117,0.679266,13.79483699798584,7.2370515,4.209999, Calibration,sand
118,3.2643003,26.65243911743164,14.958369,9.419998, Calibration,sand
119,2.9861212,23.219093322753906,13.102608,15.0, Calibration,sand
120,6.069051,32.20311737060547,19.136084,23.769997, Calibration,sand
121,4.2768097,26.6995849609375,15.488197,17.0, Calibration,sand
122,62.15939,94.65379333496094,78.40659,63.4, Calibration,sand
123,2.3696976,20.7762451171875,11.572971,9.0, Calibration,sand
124,3.5236015,25.74481964111328,14.634211,10.42, Calibration,sand
125,5.2455263,36.675228118896484,20.960377,30.489998, Calibration,sand
126,0.3152418,10.05630111694336,5.1857715,0.01, Calibration,sand
127,36.732372,76.52850341796875,56.63044,50.82, Calibration,sand
128,18.954752,58.33692169189453,38.645836,26.980003, Calibration,sand
129,5.5275154,32.12015914916992,18.823837,18.0, Calibration,sand
130,4.4028177,28.834266662597656,16.618542,8.0, Calibration,sand
131,0.31015968,8.953405380249023,4.6317825,5.28, Calibration,sand
132,9.462288,43.112098693847656,26.287193,35.910004, Calibration,sand
133,9.852755,44.57575988769531,27.214256,44.63, Calibration,sand
134,1.0493841,11.263168334960938,6.156276,12.349998, Calibration,sand
135,8.045443,37.6239013671875,22.834673,14.0, Calibration,sand
136,32.57806,75.66671752929688,54.12239,45.24, Calibration,sand
137,0.24631119,9.244739532470703,4.7455254,8.349998, Calibration,sand
138,1.0922923,15.082340240478516,8.0873165,4.1399994, Calibration,sand
139,42.363323,85.76472473144531,64.064026,40.54, Calibration,sand
140,1.3255162,16.086105346679688,8.705811,8.0, Calibration,sand
141,34.586334,73.89497375488281,54.240654,45.0, Calibration,sand
142,34.443405,75.83177947998047,55.137592,53.77, Calibration,sand
143,66.13283,95.16532897949219,80.64908,73.0, Calibration,sand
144,0.37357807,14.648530960083008,7.5110545,24.769997, Calibration,sand
145,38.19509,97.85895538330078,68.02702,58.21, Calibration,sand
146,5.0188894,31.125362396240234,18.072126,10.4229965, Calibration,sand
147,23.848234,61.54278564453125,42.69551,55.56, Calibration,sand
148,2.963169,35.343955993652344,19.153563,29.419998, Calibration,sand
149,6.197093,31.936424255371094,19.06676,15.0, Calibration,sand
150,91.18237,99.9,95.878204,95.42, Calibration,sand
151,17.264153,54.84123229980469,36.052692,62.0, Calibration,sand
152,0.76563215,15.122074127197266,7.9438534,5.209999, Calibration,sand
153,21.44389,61.5500373840332,41.496964,34.0, Calibration,sand
154,5.735155,30.955358505249023,18.345257,47.14, Calibration,sand
