,lower,upper,pred,obs,type,variable
0,7.456908,30.233444,18.845177,42.86, Calibration,silt
1,28.804012,60.366405,44.58521,39.75, Calibration,silt
2,33.37494,64.62066,48.9978,49.77, Calibration,silt
3,26.169998,57.93248,42.05124,40.260002, Calibration,silt
4,39.404327,69.68954,54.546932,57.510002, Calibration,silt
5,49.420345,76.78405,63.102196,58.29, Calibration,silt
6,30.343212,62.06489,46.204052,46.44, Calibration,silt
7,52.52768,78.79634,65.66201,60.370003, Calibration,silt
8,50.549187,77.51302,64.031105,61.0, Calibration,silt
9,0.45980978,6.1384044,3.299107,7.0, Calibration,silt
10,6.5479097,28.151436,17.349672,14.389999, Calibration,silt
11,18.265694,48.85186,33.558777,38.949997, Calibration,silt
12,55.46324,80.55199,68.007614,56.04, Calibration,silt
13,60.405205,83.36382,71.884514,66.0, Calibration,silt
14,42.759636,72.20673,57.483185,53.0, Calibration,silt
15,0.6456568,7.1320667,3.8888617,7.16, Calibration,silt
16,13.764527,42.100792,27.93266,16.58, Calibration,silt
17,36.865524,67.55952,52.21252,45.58, Calibration,silt
18,35.121376,66.20766,50.664516,61.55, Calibration,silt
19,30.030865,61.61343,45.822147,42.420002, Calibration,silt
20,0.093979,2.6245155,1.3592473,0.78000003, Calibration,silt
21,10.353217,36.466827,23.410023,36.3, Calibration,silt
22,28.79813,60.487698,44.642914,45.879997, Calibration,silt
23,56.40087,81.086876,68.74387,63.53, Calibration,silt
24,20.256363,51.111244,35.683804,30.27, Calibration,silt
25,0.19175804,3.5420227,1.8668904,1.79, Calibration,silt
26,35.26178,66.25989,50.760834,38.0, Calibration,silt
27,52.14628,78.522606,65.33444,65.0, Calibration,silt
28,34.11118,65.29748,49.704327,48.0, Calibration,silt
29,37.54211,68.14766,52.844887,47.93, Calibration,silt
30,38.23655,68.710785,53.473667,58.79, Calibration,silt
31,0.24826002,4.0112514,2.1297557,4.72, Calibration,silt
32,53.701244,79.4838,66.59252,72.58, Calibration,silt
33,0.5466418,6.8859477,3.7162948,1.92, Calibration,silt
34,33.229237,64.62355,48.92639,44.410004, Calibration,silt
35,19.621456,50.387318,35.004387,32.073, Calibration,silt
36,23.189234,54.675575,38.932404,42.019997, Calibration,silt
37,7.357168,29.95724,18.657204,19.0, Calibration,silt
38,49.413376,76.78852,63.10095,58.0, Calibration,silt
39,1.680912,13.0807905,7.3808513,0.85, Calibration,silt
40,48.551453,76.285675,62.418564,58.960003, Calibration,silt
41,36.41985,67.20076,51.810303,54.0, Calibration,silt
42,47.474796,75.59067,61.532734,58.300003, Calibration,silt
43,83.71999,94.5702,89.145096,90.79, Calibration,silt
44,46.473206,74.8252,60.649204,59.29, Calibration,silt
45,60.16469,83.30151,71.7331,67.0, Calibration,silt
46,50.276104,77.33833,63.80722,61.0, Calibration,silt
47,49.249702,76.672264,62.960983,58.0, Calibration,silt
48,45.96052,74.44673,60.203625,60.81, Calibration,silt
49,30.376572,62.02337,46.19997,45.04, Calibration,silt
50,19.14748,49.829235,34.488358,41.44, Calibration,silt
51,62.20221,84.37186,73.28703,60.510002, Calibration,silt
52,44.155945,73.17997,58.667957,52.23, Calibration,silt
53,24.87442,56.368088,40.621254,34.58, Calibration,silt
54,48.9939,76.51263,62.753265,56.0, Calibration,silt
55,18.273182,48.688847,33.481014,28.509998, Calibration,silt
56,0.082292795,2.3647783,1.2235355,1.677, Calibration,silt
57,45.860806,74.411194,60.135998,51.95, Calibration,silt
58,43.306583,72.56584,57.93621,46.93, Calibration,silt
59,32.572884,64.04555,48.309216,43.79, Calibration,silt
60,11.487389,38.519493,25.00344,25.65, Calibration,silt
61,49.911842,77.113174,63.51251,59.79, Calibration,silt
62,51.542526,78.206085,64.874306,59.230003, Calibration,silt
63,17.179249,47.225582,32.202415,36.870003, Calibration,silt
64,30.201283,61.729244,45.965263,45.53, Calibration,silt
65,23.83068,55.314064,39.572372,38.98, Calibration,silt
66,26.056068,57.68229,41.86918,41.440002, Calibration,silt
67,10.549296,36.582977,23.566137,18.95, Calibration,silt
68,45.06984,73.83159,59.450714,56.0, Calibration,silt
69,70.63716,88.61238,79.62477,78.44, Calibration,silt
70,63.941536,85.31223,74.626884,70.72, Calibration,silt
71,13.408802,41.442776,27.425789,26.685997, Calibration,silt
72,0.9582553,9.078911,5.0185833,9.0, Calibration,silt
73,50.847694,77.768166,64.30793,68.1, Calibration,silt
74,62.946766,84.75373,73.85025,69.092, Calibration,silt
75,52.310715,78.61099,65.46085,63.300003, Calibration,silt
76,6.97602,29.60188,18.28895,22.58, Calibration,silt
77,48.488182,76.16901,62.328594,64.3, Calibration,silt
78,17.225807,47.134415,32.18011,22.37, Calibration,silt
79,19.464771,50.135426,34.8001,37.11, Calibration,silt
80,10.604679,37.030895,23.817787,25.0, Calibration,silt
81,46.99093,75.176926,61.083927,60.949997, Calibration,silt
82,44.71071,73.5946,59.152653,54.81, Calibration,silt
83,61.110447,83.772026,72.44124,74.79, Calibration,silt
84,35.43409,66.413,50.923546,48.0, Calibration,silt
85,35.098785,66.18684,50.64281,48.510002, Calibration,silt
86,50.902794,77.76127,64.33203,60.86, Calibration,silt
87,46.133957,74.58472,60.359337,54.72, Calibration,silt
88,0.6730802,7.2403154,3.956698,4.628, Calibration,silt
89,47.446163,75.52039,61.483276,63.370003, Calibration,silt
90,37.005882,67.77573,52.390804,45.83, Calibration,silt
91,21.493343,52.60394,37.04864,37.181, Calibration,silt
92,62.18258,84.40052,73.29155,69.0, Calibration,silt
93,32.288116,63.689987,47.98905,49.370003, Calibration,silt
94,38.896652,69.24575,54.0712,50.760002, Calibration,silt
95,19.908371,50.723923,35.316147,32.730003, Calibration,silt
96,10.668255,36.968548,23.818401,23.740002, Calibration,silt
97,33.95755,65.14119,49.54937,42.370003, Calibration,silt
98,18.262367,48.62921,33.44579,30.95, Calibration,silt
99,37.790825,68.34882,53.069824,52.0, Calibration,silt
100,37.346367,67.98597,52.66617,49.370003, Calibration,silt
101,1.0178008,9.298655,5.1582274,7.0, Calibration,silt
102,39.36118,69.58733,54.474255,56.0, Calibration,silt
103,46.35346,74.723595,60.53853,53.019997, Calibration,silt
104,55.556503,80.58914,68.07282,66.42, Calibration,silt
105,53.17428,79.15902,66.16665,59.980003, Calibration,silt
106,28.754429,60.33549,44.54496,39.0, Calibration,silt
107,0.24619472,3.9107862,2.0784905,1.532, Calibration,silt
108,4.6961546,23.348366,14.022261,20.51, Calibration,silt
109,28.382818,59.94628,44.16455,42.93, Calibration,silt
110,44.833534,73.745575,59.289555,60.290005, Calibration,silt
111,14.664016,43.431023,29.04752,37.09, Calibration,silt
112,5.6905403,26.171015,15.930778,19.730001, Calibration,silt
113,49.993702,77.161354,63.57753,65.877, Calibration,silt
114,70.2578,88.483536,79.37067,74.23, Calibration,silt
115,8.6289,32.86605,20.747475,27.950005, Calibration,silt
116,26.71802,58.294777,42.506397,44.460003, Calibration,silt
117,48.533424,76.20672,62.37007,55.79, Calibration,silt
118,53.751637,79.53058,66.641106,67.58, Calibration,silt
119,48.76262,76.349205,62.555912,56.0, Calibration,silt
120,46.18373,74.595055,60.389393,53.230003, Calibration,silt
121,43.127716,72.442696,57.785206,54.0, Calibration,silt
122,6.9516335,29.419006,18.18532,26.07, Calibration,silt
123,50.111538,77.23422,63.672882,64.0, Calibration,silt
124,52.929848,79.01797,65.97391,67.58, Calibration,silt
125,43.38234,72.67607,58.029205,49.510002, Calibration,silt
126,40.071514,70.15672,55.11412,48.99, Calibration,silt
127,18.65099,49.314106,33.982548,36.63, Calibration,silt
128,33.492313,64.848335,49.170322,56.019997, Calibration,silt
129,49.977543,77.15077,63.56416,60.0, Calibration,silt
130,57.93344,81.97423,69.953835,68.0, Calibration,silt
131,32.730797,64.03936,48.38508,46.72, Calibration,silt
132,39.082516,69.43987,54.261192,49.089996, Calibration,silt
133,29.772774,61.484337,45.628555,42.37, Calibration,silt
134,14.773553,43.556667,29.16511,33.65, Calibration,silt
135,50.879303,77.7354,64.30735,65.0, Calibration,silt
136,32.881264,64.332146,48.606705,48.19, Calibration,silt
137,37.63298,68.23884,52.93591,53.65, Calibration,silt
138,39.449963,69.65855,54.554256,53.22, Calibration,silt
139,25.818523,57.496532,41.657528,48.7, Calibration,silt
140,35.86944,66.73734,51.30339,52.0, Calibration,silt
141,23.588305,55.079727,39.334015,46.0, Calibration,silt
142,13.665429,41.9104,27.787914,30.23, Calibration,silt
143,2.8786578,17.438318,10.158488,14.0, Calibration,silt
144,48.34697,76.14952,62.248245,55.150005, Calibration,silt
145,6.4720726,28.004177,17.238125,15.140001, Calibration,silt
146,66.11642,86.38387,76.250145,68.577, Calibration,silt
147,17.065502,47.104572,32.085037,33.44, Calibration,silt
148,47.58538,75.63972,61.61255,51.58, Calibration,silt
149,37.13324,67.820465,52.476852,49.0, Calibration,silt
150,0.83125544,8.832336,4.8317957,2.58, Calibration,silt
151,24.904072,56.54735,40.72571,28.0, Calibration,silt
152,60.713356,83.571465,72.14241,69.37, Calibration,silt
153,31.705208,63.18801,47.44661,47.0, Calibration,silt
154,15.551915,44.782177,30.167046,19.86, Calibration,silt
155,23.759558,55.16604,39.4628,41.098, Calibration,silt
156,31.56887,63.029053,47.29896,52.3, Calibration,silt
157,23.56747,54.93761,39.25254,41.100002, Calibration,silt
158,27.660532,59.27365,43.46709,43.52, Calibration,silt
159,32.535606,63.917343,48.226475,47.0, Calibration,silt
160,42.403862,71.91614,57.16,51.93, Calibration,silt
161,37.67782,68.297325,52.98757,46.440002, Calibration,silt
162,34.434402,65.532104,49.983253,50.0, Calibration,silt
163,35.01469,66.09126,50.55298,50.37, Calibration,silt
164,40.799572,70.8214,55.81049,47.3, Calibration,silt
165,24.909283,56.59589,40.752586,44.95, Calibration,silt
166,44.167744,73.20201,58.68488,46.799995, Calibration,silt
167,16.626026,46.54454,31.585283,33.79, Calibration,silt
168,47.729614,75.75562,61.74262,52.089996, Calibration,silt
169,61.43218,83.956924,72.69455,74.58, Calibration,silt
170,45.275913,73.9798,59.627857,63.089996, Calibration,silt
171,66.100334,86.39999,76.25016,71.16, Calibration,silt
172,29.56121,61.256447,45.40883,41.899998, Calibration,silt
173,51.580215,78.16341,64.87181,62.51, Calibration,silt
174,39.380875,69.602905,54.49189,49.72, Calibration,silt
175,42.740044,72.217476,57.47876,54.0, Calibration,silt
176,49.580227,76.89557,63.2379,57.44, Calibration,silt
177,72.185074,89.39969,80.79238,78.72, Calibration,silt
178,35.744736,66.72299,51.233864,52.65, Calibration,silt
179,75.94231,91.13176,83.53703,78.86, Calibration,silt
180,29.18061,60.840813,45.01071,57.970005, Calibration,silt
181,30.160559,61.68991,45.925236,51.0, Calibration,silt
182,52.117092,78.51288,65.31499,62.820995, Calibration,silt
183,38.77443,69.139206,53.956818,63.380005, Calibration,silt
184,29.037722,60.606636,44.822178,40.24, Calibration,silt
185,63.78024,85.182205,74.481224,68.74, Calibration,silt
186,81.40577,93.747734,87.57675,85.51, Calibration,silt
187,2.5792208,16.687946,9.633583,21.380999, Calibration,silt
