"","type","variable","obs","pred","lower","upper"
"22340","calibration","pH",5.7,5.55927061639598,5.00961817454845,6.11088579965647
"22341","calibration","pH",4.5999999,5.04211140420124,4.5003620906899,5.55058305901863
"22342","calibration","pH",5.19999981,5.29044805020657,4.71038109244222,5.84762731898283
"22343","calibration","pH",5.5999999,5.2711295191877,4.74947057149,5.84226806855407
"22344","calibration","pH",5.5,5.13628595261882,4.62243745394573,5.72142433575918
"22345","calibration","pH",5.19999981,5.49060440392371,4.95211849170095,6.04248778355934
"22346","calibration","pH",4.0999999,4.16042533210275,3.63201149122086,4.72436767838696
"22347","calibration","pH",5.77,5.84924293629386,5.30231306872977,6.3818817638787
"22348","calibration","pH",6.19999981,6.07935099098158,5.47248192149897,6.63537197163911
"22349","calibration","pH",5,5.3320056797809,4.79160699597093,5.91835829175159
"22350","calibration","pH",5.69999981,5.67246754878206,5.12235350552228,6.21228473417326
"22351","calibration","pH",5.4000001,5.42147923117605,4.88692167743523,5.99173197530168
"22352","calibration","pH",6.05,5.98777483602101,5.40868187862118,6.55750054245184
"22353","calibration","pH",6.06,6.00389359883062,5.39994453130509,6.55107634941011
"22354","calibration","pH",6.32,6.34349337120825,5.7978539448207,6.94061414548288
"22355","calibration","pH",5.96,6.04877712264671,5.50463117109251,6.57962582927937
"22356","calibration","pH",5.6,5.77956287681536,5.23183266522064,6.33015373428955
"22357","calibration","pH",5.51,5.8033429675725,5.25040676870974,6.36280312427014
"22358","calibration","pH",7,6.34892817037878,5.82431303600586,6.91983091538068
"22359","calibration","pH",5.80000019,5.27171058965919,4.69785112226762,5.85066376560774
"22360","calibration","pH",5.0999999,5.20664496341619,4.66913843657324,5.76330515864031
"22361","calibration","pH",5.4000001,5.22377596162162,4.68398504053618,5.77558698802013
"22362","calibration","pH",6.19999981,6.18475193066048,5.61799145550152,6.74043492901943
"22363","calibration","pH",5.67,5.9109953153694,5.36282471144892,6.45468145664932
"22364","calibration","pH",5.5,5.59037904741273,5.04569613911023,6.1400954281546
"22365","calibration","pH",5.0999999,5.29934841829374,4.77702426981662,5.86013310559576
"22366","calibration","pH",4.80000019,5.08574176358062,4.4689391241352,5.62239655407769
"22367","calibration","pH",5,5.2873004569466,4.70463015031329,5.84330630997502
"22368","calibration","pH",5.4000001,5.79021598242215,5.23652757862059,6.39639926159465
"22369","calibration","pH",5.97,6.2229780071152,5.61629676765205,6.77726494499888
"22370","calibration","pH",5.30000019,5.00000935488817,4.45109687800655,5.57699582647164
"22371","calibration","pH",4.19999981,4.43797045829351,3.86140675299853,5.00521898670074
"22372","calibration","pH",5.7,5.42109474359598,4.84324506158132,5.93895339441529
"22373","calibration","pH",5.6,5.57181196212022,5.00825840223814,6.17235266609839
"22374","calibration","pH",6.4000001,6.24943974232834,5.713818341026,6.82125278519766
"22375","calibration","pH",5.3,5.78337210050036,5.27727186253906,6.33632235060381
"22376","calibration","pH",6.30000019,6.40316709863615,5.85668922254806,6.94370109105377
"22377","calibration","pH",5.68,5.90576838176415,5.35913254965869,6.4599140699725
"22378","calibration","pH",5.35,5.67858320136732,5.10450136198357,6.21471469487383
"22379","calibration","pH",5.69999981,5.83095370038678,5.29513150753559,6.36769952010448
"22380","calibration","pH",5.30000019,5.8539995573447,5.3065869302031,6.41386597329993
"22381","calibration","pH",5.30000019,5.32944878540109,4.74914001559178,5.91023855427467
"22382","calibration","pH",5.9000001,5.72818237558025,5.17388616907447,6.24906228293065
"22383","calibration","pH",7.5999999,7.59790322934684,7.05933437547504,8.16230523624139
"22384","calibration","pH",6.4000001,6.03370361188647,5.47647108610617,6.61418292479317
"22385","calibration","pH",5.80000019,5.43406211964877,4.89122394351969,6.00680047881625
"22386","calibration","pH",5.0999999,5.21812442186721,4.67464180970338,5.78632792803215
"22387","calibration","pH",5.39,5.36536869695232,4.81339767071441,5.93783785439411
"22388","calibration","pH",5.5999999,5.46687430094537,4.90752833672141,6.00367002339113
"22389","calibration","pH",7.4000001,7.34368032134658,6.79507344486372,7.91166168511258
"22390","calibration","pH",4.9000001,4.32936959555216,3.73481678648509,4.89264761581523
"22391","calibration","pH",6.04,6.04924228059972,5.4947811808126,6.61506471801263
"22392","calibration","pH",6.0999999,5.85177129831779,5.29129582269572,6.3814202522825
"22393","calibration","pH",5.4000001,5.39347856606469,4.86017424440008,5.91651754929324
"22394","calibration","pH",5.68,5.78149434409212,5.25162766325068,6.32642257511601
"22395","calibration","pH",6,5.65077810115886,5.11528679651658,6.1849100129991
"22396","calibration","pH",8.30000019,7.88723222620542,7.34725416927373,8.42374443369487
"22397","calibration","pH",5.6,5.70489456292665,5.16325529423217,6.30239819435517
"22398","calibration","pH",8.5,8.83159470264514,8.28010681213807,9.38780992468891
"22399","calibration","pH",5.30000019,5.48840515929103,4.94087687101564,6.03418240697905
"22400","calibration","pH",5.5,5.84425240398344,5.27591818196777,6.41593876181993
"22401","calibration","pH",6.02,5.89158201509517,5.34058308569064,6.46876925320893
"22402","calibration","pH",5.76,5.64165432993374,5.11905419342285,6.17521364154041
"22403","calibration","pH",5.19999981,5.36349625691866,4.74711048404879,5.90810447943278
"22404","calibration","pH",5.0999999,5.30004408474213,4.71119357258508,5.86790373142331
"22405","calibration","pH",5.7,5.32290995453573,4.81956890922619,5.88800280980939
"22406","calibration","pH",5.19999981,5.22197048353909,4.66546580863639,5.78594287937032
"22407","calibration","pH",6.19999981,6.15624347929409,5.64164488118166,6.70523477302668
"22408","calibration","pH",5.2,5.45535086095839,4.91591613192399,6.01588131078945
"22409","calibration","pH",5.4000001,5.23312179063112,4.64780203865679,5.7505266889231
"22410","calibration","pH",5.81,5.74720066314861,5.17684842902552,6.28732248236189
"22411","calibration","pH",5.69999981,5.3377345284291,4.77651466781759,5.8871408308852
"22412","calibration","pH",5.4000001,5.31785456432921,4.76723198916561,5.91732410232053
"22413","calibration","pH",4.9000001,5.45604140109676,4.87692856851966,6.02735660909355
"22414","calibration","pH",4.80000019,5.07821779438137,4.51568630125437,5.64628900903382
"22415","calibration","pH",5.75,5.77820457621348,5.20963886573846,6.34143313265907
"22416","calibration","pH",4.9000001,5.31546593354488,4.78207533874023,5.85306076642752
"22417","calibration","pH",4.9000001,5.08221981942214,4.50862564274119,5.64432357483441
"22418","calibration","pH",5.77,5.98955614411458,5.46341291558983,6.56960854924943
"22419","calibration","pH",6.30000019,6.09754591550253,5.54790497711067,6.63339712055139
