"","type","variable","obs","pred","lower","upper"
"17810","calibration","P retention",22,24.924139078677,12.5303338806608,41.0498116840582
"17811","calibration","P retention",41,40.2235207189878,25.7186615463993,58.0895069625667
"17812","calibration","P retention",45,40.1604041825923,25.294043978994,58.0876835286402
"17813","calibration","P retention",97,88.7163448351125,75.9333050896414,96.3953976979421
"17814","calibration","P retention",11,16.7784262327027,6.45701896359412,30.683502454516
"17815","calibration","P retention",61,65.2839539326996,48.9507285584443,79.4031575263434
"17816","calibration","P retention",22,28.3807904054386,14.6716447863914,45.0492454014401
"17817","calibration","P retention",25,20.2824583949222,9.35292914680434,36.0135672338773
"17818","calibration","P retention",97,92.781795307424,80.3154405022929,98.6168962460747
"17819","calibration","P retention",36,40.7541158810705,24.5041208885356,58.3862519142823
"17820","calibration","P retention",94,87.7835845669151,73.0525522884871,96.2037294636439
"17821","calibration","P retention",32,35.8076783824626,20.8041562499017,51.2836426353476
"17822","calibration","P retention",99,97.1158194720853,87.8798795260679,99.827629203827
"17823","calibration","P retention",29,19.4360610162967,8.6559428787428,35.4680429937513
"17824","calibration","P retention",29,25.2662690932789,12.2079815861725,41.5597601815363
"17825","calibration","P retention",39,37.2162821244667,21.6309413956035,55.3746090100826
"17826","calibration","P retention",12,18.2042128299435,7.44451002781072,34.3350166567748
"17827","calibration","P retention",79,79.189199588308,63.8628170998252,90.6144413995686
"17828","calibration","P retention",46,41.4928349239727,26.8747192330421,58.9229001638436
"17829","calibration","P retention",62,66.5818455801805,50.6974404976056,80.9259529778324
"17830","calibration","P retention",20,17.6503912167847,7.61953869860555,32.5679840585694
"17831","calibration","P retention",24,26.3626558653395,12.5623884620448,43.3509839043448
"17832","calibration","P retention",73,73.8654724196512,56.7424186733438,86.2787486623522
"17833","calibration","P retention",18.98989899,12.9257054994923,4.38171107471951,27.6157141211936
"17834","calibration","P retention",14,12.5159084233287,4.11519295776225,27.0211281598761
"17835","calibration","P retention",34,29.4713893073892,14.9529448130985,47.1267061184012
"17836","calibration","P retention",24,18.7639422602982,8.06932470060458,34.4998261600205
"17837","calibration","P retention",65,63.8071092603261,46.5806107612642,79.0014174868095
"17838","calibration","P retention",59,62.1714195511536,44.0785726408812,78.8046647048592
"17839","calibration","P retention",86,87.8159654394519,74.0972652181098,96.1374274561052
"17840","calibration","P retention",90,86.9883795504338,73.3128257561261,95.56085167333
"17841","calibration","P retention",18,23.6965193524722,12.2458396714211,39.1064281456768
"17842","calibration","P retention",10,15.6597406822902,5.98564608139463,29.8262504746125
"17843","calibration","P retention",66,74.6679344330583,57.0040146237671,87.5984102022022
"17844","calibration","P retention",16,15.1658179005882,5.57569817913101,30.9495559471991
"17845","calibration","P retention",21,20.6716493154401,9.92520128728099,38.1185197429946
"17846","calibration","P retention",24.873590043,20.0471147721853,8.20243707257593,34.8635681263044
"17847","calibration","P retention",27,22.545178228397,11.0146181944224,37.2073412158989
"17848","calibration","P retention",24,27.3018901428179,13.2932155230425,44.8482416161661
"17849","calibration","P retention",33.599043444,26.9861171390299,12.9482370714045,43.0658439068578
"17850","calibration","P retention",29,22.59871965466,10.5460632111527,40.2249519864273
"17851","calibration","P retention",25,28.437711323336,15.1228593897486,45.5186159083748
"17852","calibration","P retention",33,24.9728988669896,12.1488689572997,40.6885557049835
"17853","calibration","P retention",20,18.4777090465326,8.50032700590281,33.8036758028861
"17854","calibration","P retention",24.869109948,22.6363407701004,10.2136472125884,39.9628164143307
"17855","calibration","P retention",24,25.3770561889944,12.9959791261587,41.795133588631
"17856","calibration","P retention",22,18.1874943866886,8.17682438324319,33.460945864921
"17857","calibration","P retention",23,22.1237854577595,10.7383668575179,37.5968513776227
"17858","calibration","P retention",25,22.0255591733741,9.16273906986873,37.3677233653362
"17859","calibration","P retention",52,66.9167482150583,50.1560783834114,82.7666259798635
"17860","calibration","P retention",59,60.7515711503953,44.06535151685,76.6532984538974
"17861","calibration","P retention",26.741844543,20.1343171896187,8.86888528101771,37.8447558232728
"17862","calibration","P retention",39,17.8431305869895,6.51297661733857,32.1643689013676
"17863","calibration","P retention",78,81.1574976995228,65.3006246095091,91.4909390149626
"17864","calibration","P retention",91,75.0247731946858,58.0923973764636,88.3338637184142
"17865","calibration","P retention",57,52.6641567428899,33.9989290143253,68.7244129366514
"17866","calibration","P retention",35,43.9166265221487,28.1650560275288,60.1119018621022
"17867","calibration","P retention",24,23.1994185049794,11.1412760080537,40.5352566452745
"17868","calibration","P retention",14,13.5739769725887,4.89649678136828,29.2121265660097
"17869","calibration","P retention",59,62.5618419359128,44.9460267607629,78.2055656131213
"17870","calibration","P retention",61,60.2721587264508,44.5816470722545,75.5753637063031
"17871","calibration","P retention",86,88.8773373440675,76.3130807616739,96.5643286913648
"17872","calibration","P retention",95,87.5126478948161,73.4596528835225,95.2270134734294
"17873","calibration","P retention",96,90.1700573037535,76.7103502982637,97.2014728722908
"17874","calibration","P retention",17,25.8556846348088,13.4643481452035,42.8107444472018
"17875","calibration","P retention",22.499003587,21.2263603939211,9.51392547421546,36.9573758940134
"17876","calibration","P retention",27,25.3199565596818,13.0590662373008,41.4428886885363
"17877","calibration","P retention",64,56.2228799714711,38.8079276382488,73.0515683466921
"17878","calibration","P retention",18,24.8149690710245,11.9637174678051,41.5739890404645
"17879","calibration","P retention",48,56.6934600012597,38.4564826679692,71.8884928604556
"17880","calibration","P retention",22.686868687,19.7779591242843,8.24764660886006,35.2502153495292
"17881","calibration","P retention",90,94.4298491417927,83.4865486979675,99.2801207176279
"17882","calibration","P retention",25.690392843,17.620342190734,7.75994772800584,33.0132556533575
"17883","calibration","P retention",42,39.2827908166387,23.7479506461539,56.2539281036891
"17884","calibration","P retention",18,15.903436191191,6.16424020305188,30.7839540387929
"17885","calibration","P retention",18,17.2244130689403,6.69729257000208,31.6369222111247
"17886","calibration","P retention",90,83.8518147552945,69.069804176785,93.6342832406189
"17887","calibration","P retention",23,23.805923855791,11.7460594416524,40.1818840856481
"17888","calibration","P retention",29,23.8106221601315,11.4505523312097,40.1286245731735
"17889","calibration","P retention",62,61.5623927752143,44.1915922065946,77.4190443443482
"17890","calibration","P retention",69,66.7571302957713,50.4252565421367,81.0855021187477
"17891","calibration","P retention",16,20.4615512275804,8.90633061061956,36.3005791368256
"17892","calibration","P retention",23,25.3609171632636,12.2232257639972,42.1035052092473
"17893","calibration","P retention",21.969391865,10.2103639808342,2.95062202235436,23.7814350677011
"17894","calibration","P retention",50,62.7736444587657,45.9204258327001,78.9615353897726
"17895","calibration","P retention",36,31.4733429337826,17.2480513627042,48.0674650127529
"17896","calibration","P retention",49,50.9948643562306,34.8161381437688,68.4396463054485
