"","type","variable","obs","pred","lower","upper"
"5747","calibration","clay",22,22.9935645481417,13.5600584642859,33.9533646002159
"5748","calibration","clay",20,24.0397503069888,14.924297865464,35.6047303219385
"5749","calibration","clay",20,22.3520858987649,13.0249894260247,33.5918946153447
"5750","calibration","clay",35,40.1380044012736,28.9774842177105,52.851061857328
"5751","calibration","clay",27,34.2525176012818,23.2641720095499,46.8305443137482
"5752","calibration","clay",18,22.6245924163422,13.9246810952199,34.5140770138862
"5753","calibration","clay",31,33.2755831224941,22.3974765807246,45.4960428656764
"5754","calibration","clay",31,30.3083020802763,20.3407029251583,41.5362467032436
"5755","calibration","clay",30.9799995,30.6439186009,20.0988279818584,42.1747877065424
"5756","calibration","clay",32,24.4145890447635,14.8020419560854,35.3717411666023
"5757","calibration","clay",23,28.6320558928817,18.6818951962666,40.5660365191885
"5758","calibration","clay",36.3800011,30.0685522810609,19.8758530209078,41.8452067844623
"5759","calibration","clay",33.0600014,24.5905101188643,15.2885841380201,37.0314639879276
"5760","calibration","clay",23,28.394735241394,18.2072368077687,40.6560278852314
"5761","calibration","clay",35,41.4519504169089,30.7410352041323,54.3166315222453
"5762","calibration","clay",32,29.5380703952822,18.9306269540625,41.5381828492915
"5763","calibration","clay",33,35.8746493942376,24.8641327739264,48.231446303625
"5764","calibration","clay",30,30.9999227502274,20.6195570162759,43.1229022276052
"5765","calibration","clay",43,47.904580655563,35.2386902231196,59.6817593583915
"5766","calibration","clay",35,35.0093994272418,23.851266649316,46.4593244969367
"5767","calibration","clay",47,38.9791244672908,27.0571963682081,51.0130172196582
"5768","calibration","clay",29,35.9954294386373,24.6411350208883,48.5250988480567
"5769","calibration","clay",21.6599998,22.9393584560962,14.0252676147324,34.0705391673741
"5770","calibration","clay",29,29.7587956365128,19.8689680007034,40.5276391161374
"5771","calibration","clay",35,30.4725090263023,20.5202722204786,42.5750042460557
"5772","calibration","clay",37,32.7212949437497,21.7322853336277,45.1470351933962
"5773","calibration","clay",27,29.5163297582045,19.2526119915696,41.4281581170777
"5774","calibration","clay",22,19.1807164797488,10.7442786807579,29.4537101996609
"5775","calibration","clay",28,28.3734456815142,18.528269382435,39.99993522957
"5776","calibration","clay",22,22.7398263100748,13.6475097650202,33.7446363657161
"5777","calibration","clay",23,21.4381338307855,12.8414009669096,32.1390044904245
"5778","calibration","clay",29,22.1910429446752,13.008539964879,33.5954841340875
"5779","calibration","clay",23,19.5336498464713,10.9718595022604,29.892192512
"5780","calibration","clay",20,27.7611619057806,17.9022554087359,40.4140064118903
"5781","calibration","clay",26,21.2343800504155,12.2724390725359,32.9654714602458
"5782","calibration","clay",20,23.8518861722612,14.7537990474654,35.9339209006699
"5783","calibration","clay",37,38.4005124177135,27.3080348456001,50.7685752040398
"5784","calibration","clay",29,31.0455274270687,20.1046321977253,43.6476102082228
"5785","calibration","clay",31,38.0086747328673,26.7062427380361,50.9807035731135
"5786","calibration","clay",35,33.3874301232613,22.822336235296,45.5001716996373
"5787","calibration","clay",16,16.6530149253215,9.29321464654049,27.1276144316882
"5788","calibration","clay",16,15.3427147065078,7.75131011855437,26.3377032107652
"5789","calibration","clay",34,33.4056387576603,22.5630438751299,45.5328024234455
"5790","calibration","clay",26,23.0441058987704,13.8239378032727,34.5062157725246
"5791","calibration","clay",34,31.9162968785598,21.5545150157645,44.0636714808928
"5792","calibration","clay",25,38.5774530083346,27.6068597222813,50.6714017949908
"5793","calibration","clay",26,30.3083335285901,19.9135521196695,44.1381259702776
"5794","calibration","clay",19.75,18.6388190679602,10.9944156316604,29.6570002588917
"5795","calibration","clay",25.9899998,23.0728476692662,13.5173198667041,34.5439307511462
"5796","calibration","clay",34,26.9138960842381,18.231336208876,39.351322980443
"5797","calibration","clay",34,26.8413710030583,17.085846519623,37.8022357544464
"5798","calibration","clay",30,32.9642143672193,22.1305718117325,46.3220831602711
"5799","calibration","clay",29,37.4387996066136,26.1263234871964,49.0594301714346
"5800","calibration","clay",41,23.8359638835405,14.2122244209867,34.6211282730289
"5801","calibration","clay",32.2299995,26.2101177626725,16.8398992188126,38.6663740874576
