"","type","variable","obs","pred","lower","upper"
"22340","validation","pH",5.9000001,6.09283495628945,6.0231362247179,6.14602840852479
"22341","validation","pH",7.30000019,7.05252218985196,6.90472868416775,7.36538261110491
"22342","validation","pH",6.3,6.19309070570108,6.08260281276289,6.25899836385848
"22343","validation","pH",6,6.04920526249208,5.95785227727905,6.12003887361082
"22344","validation","pH",6.19999981,6.47359672327699,6.34724378698079,6.6112252754234
"22345","validation","pH",5.4000001,5.15232045673811,5.01474015197976,5.21725882615145
"22346","validation","pH",6,5.99110736040427,5.93904821324197,6.01415382040368
"22347","validation","pH",5.5999999,5.56546427772382,5.47763600824003,5.62385795752799
"22348","validation","pH",5,5.28803568509452,5.21606915515496,5.40739610295106
"22349","validation","pH",7.80000019,7.09208550751514,6.93014753451504,7.28567254061655
"22350","validation","pH",5.0999999,5.64450380356039,5.53504930604354,5.7010763439856
"22351","validation","pH",5.80000019,5.70860688671008,5.61625444239245,5.75623913060007
"22352","validation","pH",6.0999999,5.80425534484466,5.71222946722871,5.94859023279846
"22353","validation","pH",6,6.61841497600498,6.51460600228666,6.71619284346321
"22354","validation","pH",6.5,6.18853434383638,6.12387233559224,6.29844329504163
"22355","validation","pH",5.4000001,5.54035117313361,5.42507884338665,5.58556787452811
"22356","validation","pH",6.16,6.42793258121614,6.31961318905024,6.51774889195557
"22357","validation","pH",5.30000019,5.75512847432254,5.69560900424029,5.83893637813721
"22358","validation","pH",5.0999999,4.82896428507067,4.7407585300947,4.88957051525214
"22359","validation","pH",5.16,5.39624592032696,5.33041389939468,5.48100875514871
"22360","validation","pH",5.19999981,5.04801576117589,4.9571196698369,5.11939620090216
"22361","validation","pH",6.30000019,6.2735249819619,6.1885022047221,6.35981016668765
"22362","validation","pH",6,6.52497669867889,6.36602107410664,6.64060602640835
"22363","validation","pH",5.9000001,5.63332325097032,5.55351680829275,5.66843362133362
"22364","validation","pH",5.69999981,5.86966085359507,5.74603343113542,5.96170554158891
"22365","validation","pH",6.19999981,6.09272461284853,6.04877488407687,6.16956999577649
"22366","validation","pH",6,6.1750579610297,6.09423157382962,6.25908893548813
"22367","validation","pH",5.30000019,5.51568959220284,5.44593717799459,5.58885293951677
"22368","validation","pH",8.69999981,7.26856547203491,7.15651919703282,7.42513333071999
"22369","validation","pH",5.97,6.15636712131172,6.1104149738395,6.25366660525093
"22370","validation","pH",6.1,6.1859335125496,6.14466974613824,6.23815454754534
"22371","validation","pH",5.9,5.88041961950747,5.82518229233364,5.95652861771337
"22372","validation","pH",5.69,5.75451918383846,5.72737565625689,5.80675813606508
"22373","validation","pH",6.0999999,5.97857076050727,5.85515572057823,6.07592319224624
"22374","validation","pH",5.69999981,6.05833308748121,5.97834304439448,6.10857127697511
"22375","validation","pH",4.69999981,4.89579049148925,4.82906233690505,4.94420209484144
"22376","validation","pH",5.6,5.82808752116794,5.76085293870429,5.88140247824416
"22377","validation","pH",4.80000019,5.22952167749091,5.18565740702435,5.32713531425576
"22378","validation","pH",7.30000019,7.13583149809109,7.04838028227074,7.20447819114725
"22379","validation","pH",5.0999999,5.17216976793397,5.03038904123498,5.41134217907929
"22380","validation","pH",5.4,5.55505151034616,5.51410406825644,5.61056084748269
"22381","validation","pH",6.5,6.76041731670387,6.61921003293435,6.85277371107992
"22382","validation","pH",5.80000019,5.8252351396412,5.78916213481624,5.89431115794127
"22383","validation","pH",4.30000019,4.57131530627735,4.40762858497895,4.79423565031859
"22384","validation","pH",5.4000001,4.76926423752496,4.70177591261215,4.91165753957166
"22385","validation","pH",5.92,5.80960501141635,5.73667984152305,5.88179256616346
"22386","validation","pH",6.1,6.15653074810792,6.10045501175186,6.21868978655694
"22387","validation","pH",5.1,5.0840639348882,4.96814979619018,5.28277257852363
"22388","validation","pH",4.9000001,5.26117042572331,5.11425977484933,5.40102317783736
"22389","validation","pH",5.30000019,5.03725969029729,4.94431957810106,5.15463382765226
"22390","validation","pH",4.9000001,4.9712066702573,4.90973431837393,5.04507902570739
"22391","validation","pH",6.0999999,6.21578354107809,6.18357078642454,6.24885693147162
"22392","validation","pH",6.30000019,5.95695120739558,5.90972442009785,6.022056444678
"22393","validation","pH",4.9000001,5.19871163483157,5.04343944537721,5.36882731329262
"22394","validation","pH",6.30000019,6.02526525564988,5.89616465429181,6.13082497250714
"22395","validation","pH",5.69999981,5.87685282233991,5.75765721828597,5.90934381328402
"22396","validation","pH",6.0999999,6.06891352962784,5.90957677065029,6.20373283700996
"22397","validation","pH",6.2,5.83274176552811,5.71009485710915,6.03585767434072
"22398","validation","pH",5.6,5.41428533426288,5.35586902078674,5.53195183395547
"22399","validation","pH",5.30000019,4.82024003855187,4.44145092438423,4.93382144551807
"22400","validation","pH",5.82,5.81123595137032,5.78418071337593,5.86085671981983
"22401","validation","pH",5.80000019,5.75121963990662,5.65315376011116,5.81301762799756
"22402","validation","pH",6.4000001,6.59547253444455,6.48888084001015,6.65985346507608
"22403","validation","pH",5,5.4286216470352,5.37354112358378,5.52112472058302
"22404","validation","pH",5.9000001,6.05129094705997,5.95899282647139,6.13796905691486
"22405","validation","pH",6.93,6.62993672398793,6.59600378221918,6.69512479250866
"22406","validation","pH",5.9000001,5.91886928486524,5.81354799352314,5.99402145503674
"22407","validation","pH",6.30000019,6.14062247652381,6.05891220248883,6.19459993053993
"22408","validation","pH",4.5,4.51389270909872,4.38314391732922,4.65669091862307
"22409","validation","pH",5.30000019,5.07035723340097,4.98466941115091,5.2017988174662
"22410","validation","pH",7.30000019,7.35299205983601,7.28854392098529,7.46114126703901
"22411","validation","pH",5.80000019,5.92668312499365,5.7766070429882,5.982681175209
"22412","validation","pH",5.9000001,5.88952695918771,5.72351771915914,5.9481579769127
"22413","validation","pH",5.4000001,5.35928959186476,5.2634344348881,5.43247336344615
"22414","validation","pH",6.19999981,6.3430623015628,6.243123613212,6.3978487375022
"22415","validation","pH",6.30000019,6.22549038596448,6.16730319065073,6.34416525896107
"22416","validation","pH",6,6.01862028269967,5.96278435561748,6.07364225416867
"22417","validation","pH",5.69999981,5.80505321788961,5.62667391059819,5.90590618930387
"22418","validation","pH",4.0999999,4.48499350944403,4.40802111567008,4.55787597464496
"22419","validation","pH",4.9000001,4.83666620246004,4.65681109914306,4.93743230381774
"22420","validation","pH",5.5,6.07710403867306,5.91560179479975,6.27957095760813
"22421","validation","pH",4.4000001,4.55773138380322,4.41847632347083,4.78058521751412
"22422","validation","pH",4.69999981,4.59938313795305,4.48622738207893,4.63958293555061
"22423","validation","pH",5.9000001,5.36540741237195,5.32607318167664,5.43966943784378
"22424","validation","pH",4.30000019,3.99157778388362,3.88369700910223,4.04698517512103
"22425","validation","pH",4.0999999,4.60042468395845,4.49682776450102,4.69414059857688
"22426","validation","pH",5.5,5.99909705170616,5.96678480440466,6.04765560885687
"22427","validation","pH",6.6,6.22671087774688,6.13556026020979,6.30754533443013
"22428","validation","pH",5.80000019,5.84453997570113,5.79530287452068,5.93793418512506
"22429","validation","pH",5.30000019,5.41836554680088,5.32700694264966,5.52805027663604
"22430","validation","pH",6.69999981,6.26809039167305,6.23768659035977,6.29977272759622
"22431","validation","pH",5.19999981,5.55301826693147,5.46191282910292,5.58049140979849
"22432","validation","pH",5.80000019,5.78279417651995,5.73981845024151,5.90078117845838
"22433","validation","pH",5.7,5.89569666150123,5.78909529162367,5.98427302669898
"22434","validation","pH",5.19999981,5.37611260960453,5.26481646534131,5.50860482507654
"22435","validation","pH",4.9000001,5.63078496448364,5.55112793245927,5.73945037055628
"22436","validation","pH",6.69999981,6.76623251210498,6.72198340368446,6.83406914662256
"22437","validation","pH",5.30000019,4.55304470092045,4.41325234809032,4.67221783458811
"22438","validation","pH",7.19999981,6.92250781826959,6.8852292145461,7.02748161569112
"22439","validation","pH",6.5,5.98925789693595,5.90905575547212,6.15482795072069
