"","type","variable","obs","pred","lower","upper"
"17810","validation","P retention",32,29.1380905951511,26.5324883202232,31.2872482045315
"17811","validation","P retention",10,6.54472952513563,5.58924662842083,7.76446027285949
"17812","validation","P retention",42,42.3575517695247,40.1359698633768,43.2441382067657
"17813","validation","P retention",7,3.65777424062103,2.30385229508827,4.61817917773442
"17814","validation","P retention",60,58.6618803669274,57.2129265341354,60.4562018510261
"17815","validation","P retention",52,51.8019779177915,50.589475254879,53.7856269653729
"17816","validation","P retention",6,1.41140104510681,-2.99437193560819,5.49786789110361
"17817","validation","P retention",87,69.1399084294848,67.880996554471,71.375956633597
"17818","validation","P retention",59,50.201525391264,49.1847198395504,51.969447093916
"17819","validation","P retention",27,24.8136146691616,22.9960495571752,26.462466581694
"17820","validation","P retention",36,47.8871491804795,46.2989657214497,49.055533862536
"17821","validation","P retention",7,4.31465134031703,3.53715565354849,5.99255293280906
"17822","validation","P retention",42,47.8253314511441,46.9594119380998,48.870191656864
"17823","validation","P retention",19,22.5032465166677,20.9097863475557,23.3558941476353
"17824","validation","P retention",14,15.8218416651575,15.1432764148442,16.1810487431698
"17825","validation","P retention",33,34.461659284838,31.5608666589985,36.2243674273206
"17826","validation","P retention",27,24.5269721724547,23.4058828322989,25.0403186626865
"17827","validation","P retention",7,7.67454083745275,6.91561243455039,8.72986285261982
"17828","validation","P retention",13,15.6000515403301,14.1516421969403,17.4282506577781
"17829","validation","P retention",28,17.6955387279025,15.6776884344973,19.5742274000287
"17830","validation","P retention",89,84.7604758714037,79.6695447444466,87.742816572884
"17831","validation","P retention",62,58.1602857686418,56.8117526780408,59.6358429135145
"17832","validation","P retention",56,55.3172098392049,54.2273339084014,56.1954240141927
"17833","validation","P retention",4,4.05648355564616,3.01885195461867,5.80793791110852
"17834","validation","P retention",33,40.1194454491138,37.2770101833472,41.4046154350561
"17835","validation","P retention",34,36.830252809931,35.8407422968201,38.0346894100037
"17836","validation","P retention",14,13.8980514357528,12.184122874167,14.5738317578442
"17837","validation","P retention",43,40.9916738799697,39.299777253852,42.3267398015647
"17838","validation","P retention",85,76.9525983942889,75.0347002350908,77.9406722827795
"17839","validation","P retention",33,48.3970680098262,46.6531042362529,49.8410859426452
