"","type","variable","obs","pred","lower","upper"
"5747","validation","clay",30.5699997,32.5622946758239,30.6647646064652,35.3483676952672
"5748","validation","clay",9,20.0863592518994,17.3011871171987,21.3496240865422
"5749","validation","clay",22.6900005,23.3703044430052,22.3476452866047,25.6949780822943
"5750","validation","clay",49,42.3340321441958,40.9550877340241,45.6532531762023
"5751","validation","clay",33,37.1507310570695,36.4216009560727,39.3987649900338
"5752","validation","clay",16.3799992,18.7350018142776,18.0979182537362,19.4914904690078
"5753","validation","clay",13,17.1263075308369,16.0107667072495,18.4594796946171
"5754","validation","clay",3.05999994,4.10703969532461,2.59108376612704,6.20229027891398
"5755","validation","clay",29,26.4792692829902,25.8792253530269,27.8687107547386
"5756","validation","clay",25.3400002,26.2192222549822,25.4067642280826,26.9140187197536
"5757","validation","clay",15,17.3503057038164,16.0345435460642,18.6513325714074
"5758","validation","clay",16,16.7232257056769,15.0035276121988,18.122814215263
"5759","validation","clay",21.8700008,27.0339225617719,25.1022435740993,29.9074511573365
"5760","validation","clay",23,20.9522898787522,19.3051577407558,22.3572758672162
"5761","validation","clay",0.01,-0.165026826661602,-2.71429758148081,0.893872584706928
"5762","validation","clay",26,17.718406665303,16.3049268488292,19.4128822987033
"5763","validation","clay",9.56999969,4.49018186981082,2.21184625002926,6.0707146337102
"5764","validation","clay",54,46.3572267382886,43.999222804949,48.7400343242294
"5765","validation","clay",19.9300003,34.1046694336208,27.3324957183148,43.1202658659833
"5766","validation","clay",27,26.4729268498215,24.8458584477364,27.285701056662
"5767","validation","clay",1,3.22461897490202,1.5164695359649,4.80292878650891
"5768","validation","clay",38.9799995,48.5094033328684,46.4690490410171,51.9769564044012
"5769","validation","clay",48.9000015,54.7968605572944,53.861633811762,56.8823321453399
"5770","validation","clay",47,42.8238028264483,41.0122208275699,44.4905403328098
"5771","validation","clay",14,21.7582356648911,20.4279528346959,22.6969309189296
"5772","validation","clay",17.5900002,15.2022317681948,14.3473339766014,15.746936780452
"5773","validation","clay",12,9.35132484364113,7.31905105671665,10.3790138339201
