"","type","variable","obs","pred"
"3198","calibration","carbon",2.51864644933555,2.39806694048244
"7763...2","calibration","carbon",3.0999999,2.98218590863898
"4159...3","calibration","carbon",1.29999995,1.39753533118552
"8542...4","calibration","carbon",3.5,3.84394224824055
"8543...5","calibration","carbon",2.5,2.51929331435056
"167","calibration","carbon",3.16,3.09753743964449
"223...7","calibration","carbon",2.54,2.6871752704762
"4577...8","calibration","carbon",2.20000005,2.18685155266196
"7764...9","calibration","carbon",2.5999999,2.46053549481397
"7566...10","calibration","carbon",3.0999999,2.7712768007659
"215...11","calibration","carbon",2.37,3.85938545919057
"4570...12","calibration","carbon",1.5,1.48981457548073
"1772...13","calibration","carbon",2.444,2.76048327093451
"2158...14","calibration","carbon",2.94,3.05942994304577
"6475...15","calibration","carbon",4,4.59362863182591
"211...16","calibration","carbon",2.41,2.37560148929328
"3347","calibration","carbon",2.70156689275117,2.81728892104794
"7248...18","calibration","carbon",3.9000001,3.7526088457646
"2168...19","calibration","carbon",2.89,3.15562757414034
"5948...20","calibration","carbon",1.79999995,1.88536874465686
"277...21","calibration","carbon",2.79,2.9559635532819
"1130...22","calibration","carbon",2.59,2.55790851605427
"3800...23","calibration","carbon",1.89999998,1.60766925834574
"6444...24","calibration","carbon",3.9000001,3.72608480760102
"1140...25","calibration","carbon",4.48,4.07157246751265
"233...26","calibration","carbon",2.48,2.84733368871477
"217...27","calibration","carbon",2.44,2.47157091427345
"3125","calibration","carbon",2.61130997367651,2.5256923931973
"1632...29","calibration","carbon",3.06,2.6714176340513
"4290...30","calibration","carbon",0.400000006,0.749011570062418
"2789","calibration","carbon",1.36061364444444,1.55198097758896
"1044...32","calibration","carbon",1.61,1.77504230436401
"5940...33","calibration","carbon",1.79999995,1.84894275372608
"7585...34","calibration","carbon",3.5999999,3.87832041778595
"4017...35","calibration","carbon",2.70000005,2.8133467757934
"894...36","calibration","carbon",2.75,2.98314044483902
"906...37","calibration","carbon",2.72,2.67327818254035
"2156...38","calibration","carbon",3.71,3.75648659932522
"273...39","calibration","carbon",3.09,3.46467864885443
"3687...40","calibration","carbon",2.4000001,1.70036510878931
"7579...41","calibration","carbon",4.5,4.65510739844343
"8200...42","calibration","carbon",3.70000005,4.21156359867529
"5969...43","calibration","carbon",1.20000005,1.3241003786572
"8217...44","calibration","carbon",3.4000001,3.79636019640217
"3225","calibration","carbon",1.99798849744803,1.89353743025549
"6539...46","calibration","carbon",1.79999995,2.15263893240459
"4078...47","calibration","carbon",1.79999995,1.73987450833144
"3348","calibration","carbon",2.60653043025315,2.89137066193862
"3235","calibration","carbon",2.11875882157493,3.46138602443123
