"","type","variable","obs","pred"
"8543...22340","calibration","pH",5.7,5.67983985919845
"6475...22341","calibration","pH",4.5999999,5.2349738855034
"7566...22342","calibration","pH",5.19999981,5.29286874510692
"4577...22343","calibration","pH",5.5999999,5.36629422706443
"4576...22344","calibration","pH",5.5,5.30333385978542
"4159...22345","calibration","pH",5.19999981,5.64270667288224
"7579...22346","calibration","pH",4.0999999,4.14044262195899
"221...22347","calibration","pH",5.77,5.89675265182892
"7764...22348","calibration","pH",6.19999981,6.16905402717626
"7248...22349","calibration","pH",5,5.41097254639431
"6551...22350","calibration","pH",5.69999981,5.76754864209453
"5948...22351","calibration","pH",5.4000001,5.37970013834498
"211...22352","calibration","pH",6.05,6.01362877994014
"209...22353","calibration","pH",6.06,6.02198640426551
"1772...22354","calibration","pH",6.32,6.48247173698818
"233...22355","calibration","pH",5.96,5.98793606597774
"217...22356","calibration","pH",5.6,5.83592957747737
"277...22357","calibration","pH",5.51,5.84818920126791
"5966...22358","calibration","pH",7,6.49452909547067
"5928...22359","calibration","pH",5.80000019,5.25778346592204
"4290...22360","calibration","pH",5.0999999,5.30401669932103
"5949...22361","calibration","pH",5.4000001,5.20178805091816
"7872...22362","calibration","pH",6.19999981,6.05682292311683
"273...22363","calibration","pH",5.67,5.92252824638656
"6444...22364","calibration","pH",5.5,5.73142672224255
"8217...22365","calibration","pH",5.0999999,5.3863128062931
"6541...22366","calibration","pH",4.80000019,5.03918435854903
"6539...22367","calibration","pH",5,5.22223427458135
"8200...22368","calibration","pH",5.4000001,5.80322099178029
"1858...22369","calibration","pH",5.97,6.23048331426332
"5940...22370","calibration","pH",5.30000019,4.93721903006297
"7585...22371","calibration","pH",4.19999981,4.38275346617777
"8297...22372","calibration","pH",5.7,5.3545491992082
"7327...22373","calibration","pH",5.6,5.66233436807032
"4965...22374","calibration","pH",6.4000001,6.16949801209731
"8201...22375","calibration","pH",5.3,5.88965149191459
"6092...22376","calibration","pH",6.30000019,6.41546133192432
"227...22377","calibration","pH",5.68,5.91052704469074
"1400...22378","calibration","pH",5.35,5.82692453369626
"8497...22379","calibration","pH",5.69999981,5.77801578101676
"7862...22380","calibration","pH",5.30000019,5.81599953214944
"4990...22381","calibration","pH",5.30000019,5.41240293042333
"7326...22382","calibration","pH",5.9000001,5.80762015272575
"6095...22383","calibration","pH",7.5999999,7.55406389650533
"7836...22384","calibration","pH",6.4000001,6.00496377356143
"6366...22385","calibration","pH",5.80000019,5.52157426071741
"7542...22386","calibration","pH",5.0999999,4.93768892004242
"1466...22387","calibration","pH",5.39,5.55086271308017
"6424...22388","calibration","pH",5.5999999,5.58486554390824
"6094...22389","calibration","pH",7.4000001,7.27234360527853
"7580...22390","calibration","pH",4.9000001,4.28237577642642
"1290...22391","calibration","pH",6.04,6.11813478501853
"6405...22392","calibration","pH",6.0999999,5.79361154806711
"7552...22393","calibration","pH",5.4000001,5.33328663953926
"269...22394","calibration","pH",5.68,5.83981741230672
"6986...22395","calibration","pH",6,5.62376885815225
"6709...22396","calibration","pH",8.30000019,8.26252075905827
"8381...22397","calibration","pH",5.6,5.73462101314562
"6675...22398","calibration","pH",8.5,8.97729776078243
"4989...22399","calibration","pH",5.30000019,5.50990729197659
"6672...22400","calibration","pH",5.5,5.96352911182269
"301...22401","calibration","pH",6.02,5.98764601158297
"1526...22402","calibration","pH",5.76,5.708276602983
"4291...22403","calibration","pH",5.19999981,5.41881331279166
"7295...22404","calibration","pH",5.0999999,5.27024116487448
"8350...22405","calibration","pH",5.7,5.40716255168983
"4511...22406","calibration","pH",5.19999981,5.22506730487423
"7879...22407","calibration","pH",6.19999981,6.04260502412944
"1414...22408","calibration","pH",5.2,5.59258708942075
"4162...22409","calibration","pH",5.4000001,5.28907225892366
"1468...22410","calibration","pH",5.81,5.87721456659999
"8301...22411","calibration","pH",5.69999981,5.44536213172013
"4161...22412","calibration","pH",5.4000001,5.35376340256904
"4289...22413","calibration","pH",4.9000001,5.49866467352264
"7549...22414","calibration","pH",4.80000019,4.94494718265853
"1416...22415","calibration","pH",5.75,5.88678744618914
"6540...22416","calibration","pH",4.9000001,5.24855127229155
"7556...22417","calibration","pH",4.9000001,5.09401215156906
"1548...22418","calibration","pH",5.77,6.03922838117506
"4966...22419","calibration","pH",6.30000019,6.00735266370895
"7349...22420","calibration","pH",5.6,5.52740122448327
"6028...22421","calibration","pH",5.5999999,5.16848753919034
"4800...22422","calibration","pH",5.5999999,5.32588739139296
"7846...22423","calibration","pH",5.0999999,5.35435888905804
"285...22424","calibration","pH",5.58,5.68369693196535
"5564...22425","calibration","pH",8.19999981,8.16740213956336
"6984...22426","calibration","pH",6.1,5.78989189462928
"8244...22427","calibration","pH",5.4,5.26271032095585
"1402...22428","calibration","pH",5.93,5.99960737723436
"5935...22429","calibration","pH",5.19999981,5.03893288955209
"8445...22430","calibration","pH",5.19999981,5.3898059848446
"8493...22431","calibration","pH",6.0999999,6.02915268316018
"4121...22432","calibration","pH",5.5,6.0393149168643
"5934...22433","calibration","pH",4.9000001,4.75580934301447
"6451...22434","calibration","pH",5.4000001,5.83011457587847
"293...22435","calibration","pH",6.08,6.01364240543898
"5967...22436","calibration","pH",7.0999999,6.30718003779554
"7008","calibration","pH",5.69999981,5.42950063128065
"1540...22438","calibration","pH",5.53,5.64508591664342
"4799...22439","calibration","pH",5.30000019,5.06969172407662
"1470...22440","calibration","pH",5.62,5.79180905260112
"7896...22441","calibration","pH",6.5999999,6.41351251402321
"4508...22442","calibration","pH",4.80000019,4.69464751447201
"6370...22443","calibration","pH",4.5,4.99838465694264
"4158...22444","calibration","pH",4.9000001,5.57897470187759
"1286...22445","calibration","pH",5.7,5.76449718941302
"7564...22446","calibration","pH",5.19999981,5.34905811662769
"7570...22447","calibration","pH",4.69999981,4.93206236543453
"6529...22448","calibration","pH",5.5999999,5.27422293924408
"4299...22449","calibration","pH",5.30000019,5.24938241093387
"4569...22450","calibration","pH",5.5999999,5.41381832937809
"7581...22451","calibration","pH",4.9000001,4.39252876029441
"8335...22452","calibration","pH",5.4,5.36841819025871
"1764...22453","calibration","pH",5.71,5.91926542731038
"1406...22454","calibration","pH",5.82,5.80268196365395
"1422...22455","calibration","pH",6.05,6.10010909788183
"8538...22456","calibration","pH",5.30000019,5.66446318451668
"4955...22457","calibration","pH",5.5999999,5.79640115093015
"6568...22458","calibration","pH",5.0999999,5.13596580344211
"8241...22459","calibration","pH",5.0999999,4.98088109742194
"8242...22460","calibration","pH",5.1,5.03427715791177
"7818...22461","calibration","pH",6.30000019,6.071645264373
"6445...22462","calibration","pH",5.30000019,5.67163437109759
"5936...22463","calibration","pH",5.30000019,5.03797483489509
"1800...22464","calibration","pH",5.63,5.67089461475012
"4507...22465","calibration","pH",4.69999981,4.66062092879443
"8503...22466","calibration","pH",5.4000001,5.77795910678835
"4137...22467","calibration","pH",5.4000001,5.09336899980028
"4798...22468","calibration","pH",5,4.46268543455946
"5610...22469","calibration","pH",5,4.82939069460472
"4820...22470","calibration","pH",5.0999999,5.18467981847976
"4138...22471","calibration","pH",5,5.03874653449969
"7540...22472","calibration","pH",4.9000001,4.94202993214473
"4991...22473","calibration","pH",5.80000019,6.10120457910381
"1310...22474","calibration","pH",6.34,6.08673501114664
"1794...22475","calibration","pH",5.98,5.95476300950247
"297...22476","calibration","pH",6.08,6.04577235836704
"7875...22477","calibration","pH",5.9000001,5.94540231170933
"7550...22478","calibration","pH",4.80000019,4.99207455325208
"8246...22479","calibration","pH",5.6,5.50973601677302
"8352...22480","calibration","pH",5.7,5.54459604656832
"1792...22481","calibration","pH",6.2,5.97305957204513
"8441...22482","calibration","pH",5.3,5.84371995172945
"7547...22483","calibration","pH",4.80000019,5.25008836247987
"271...22484","calibration","pH",5.5,5.5962307894995
"8248...22485","calibration","pH",5.69999981,5.49675668425009
"8437...22486","calibration","pH",5.7,5.58007223051813
"5486...22487","calibration","pH",6.5,6.50602236999768
"8415...22488","calibration","pH",6,6.47727803834016
"4298...22489","calibration","pH",5.19999981,5.50923093222172
"6480...22490","calibration","pH",5.4000001,5.31149881819787
"4808...22491","calibration","pH",5.30000019,5.12800552835557
"8417...22492","calibration","pH",5.5,5.94612157397914
"8203...22493","calibration","pH",5.9,6.25410365880864
"1850...22494","calibration","pH",5.66,5.76960205019557
"3932...22495","calibration","pH",7,6.41348017033359
"7261...22496","calibration","pH",5.5,5.72326319467424
"1418...22497","calibration","pH",6.42,6.2030075757854
"7546...22498","calibration","pH",4.80000019,5.0273071804575
"1522...22499","calibration","pH",5.6,5.76971350571332
"7293...22500","calibration","pH",5.1,5.34772584299465
"8528...22501","calibration","pH",5.69999981,5.20240404928706
"7373...22502","calibration","pH",5.69999981,5.70412953944694
"6567...22503","calibration","pH",5.30000019,5.10422180852084
"4127...22504","calibration","pH",5.4000001,5.65472979885985
"7541...22505","calibration","pH",4.9000001,4.75630098518114
"1590...22506","calibration","pH",6.08,6.08856154208503
"6918...22507","calibration","pH",5.3,5.59430323826923
"7684...22508","calibration","pH",5.4,5.7012465390506
"8414...22509","calibration","pH",5.9000001,6.13173642215595
"8494...22510","calibration","pH",6.30000019,6.23840914135475
"1570...22511","calibration","pH",5.66,5.82297785536103
"4821...22512","calibration","pH",5.19999981,5.18091743743948
"6683...22513","calibration","pH",5.9000001,6.65035537082215
"6686...22514","calibration","pH",8.30000019,9.11223476310016
"6446...22515","calibration","pH",5.4000001,5.798501755382
"1300...22516","calibration","pH",5.4,5.32860260818934
"6423...22517","calibration","pH",5.30000019,5.40673565137626
"1568...22518","calibration","pH",6.2,6.23967843703861
"4501...22519","calibration","pH",4.9000001,5.43234333692014
"5005...22520","calibration","pH",6.0999999,6.26014136279369
"8527...22521","calibration","pH",5.80000019,5.53688697858379
"1462...22522","calibration","pH",6.33,6.11453914081718
"8323...22523","calibration","pH",5.7,5.62680811291456
"1798...22524","calibration","pH",6.08,6.02441319387122
"7898...22525","calibration","pH",6.2,6.4547787384478
"1460...22526","calibration","pH",6.24,6.15643247030177
"1312...22527","calibration","pH",5.99,6.01797998850699
"4135...22528","calibration","pH",5.30000019,4.9187067063481
"6416...22529","calibration","pH",5.4000001,5.62072473915788
"1836...22530","calibration","pH",6.08,6.14845364268608
"1478...22531","calibration","pH",6.16,6.40118150199272
"7835...22532","calibration","pH",6,5.82813173053617
"4140...22533","calibration","pH",5.19999981,5.12295725044312
"6982...22534","calibration","pH",6.19999981,5.81953397329908
"5920...22535","calibration","pH",5.69999981,5.73438781145094
"1810...22536","calibration","pH",5.77,5.91540422601376
"8002...22537","calibration","pH",5.69999981,5.35855579640689
"6029...22538","calibration","pH",5.9000001,5.72664656520341
"6478...22539","calibration","pH",5.2,5.18314851190148
"7297...22540","calibration","pH",5.4,5.6481082294776
"1846...22541","calibration","pH",6.35,6.28678979261771
"1582...22542","calibration","pH",6.12,6.07918116671343
"1574...22543","calibration","pH",6.12,5.96093776585415
"6056...22544","calibration","pH",5.30000019,4.96492398425768
"7873...22545","calibration","pH",6.0999999,5.767863877865
"7010","calibration","pH",5.5999999,5.2816420387488
"1840...22547","calibration","pH",6.06,6.00873631312312
"6502...22548","calibration","pH",5.5,5.23186703888271
"4764...22549","calibration","pH",5.69999981,5.60949498045074
"4139...22550","calibration","pH",5.0999999,5.04316611754068
"1784...22551","calibration","pH",5.91,5.76078029010931
"5445...22552","calibration","pH",5.69999981,6.10298131358647
"6990...22553","calibration","pH",5.4,5.41574390548355
"7848...22554","calibration","pH",5.19999981,5.40067777712266
"1816...22555","calibration","pH",6,6.20723116388642
"6274...22556","calibration","pH",5.9000001,6.04193902756437
"1456...22557","calibration","pH",5.8,6.08416068560616
"1832...22558","calibration","pH",5.87,5.91281402124041
"1584...22559","calibration","pH",6.07,5.99811294469496
"8348...22560","calibration","pH",5.6,5.54376169822772
"1464...22561","calibration","pH",6.05,6.09871136424997
"6920...22562","calibration","pH",5.30000019,5.57201931760828
"5937...22563","calibration","pH",5.4000001,4.96545452152457
"6384...22564","calibration","pH",5.5999999,5.43223993409056
"8258...22565","calibration","pH",4.8,4.97583533755516
"8256...22566","calibration","pH",5.1,5.16779042326434
"6260...22567","calibration","pH",8.80000019,9.13409025110319
"7545...22568","calibration","pH",4.80000019,4.9768256096334
"6849...22569","calibration","pH",5.19999981,4.96244469164318
"7292...22570","calibration","pH",5.4000001,5.44078949266427
"1436...22571","calibration","pH",6.03,6.01303460873571
"7908...22572","calibration","pH",5.6,5.62915732298592
"8498...22573","calibration","pH",6,6.01612029698811
"6970...22574","calibration","pH",6.19999981,6.2862152849834
"7548...22575","calibration","pH",4.69999981,5.01145868496268
"4209...22576","calibration","pH",5.80000019,5.39686503177865
"1806...22577","calibration","pH",6.35,6.05355495310442
"6968...22578","calibration","pH",6.0999999,6.23260221457978
"7812...22579","calibration","pH",5.30000019,5.4105314021463
"1768...22580","calibration","pH",6.03,5.96085020114249
"7911...22581","calibration","pH",5.69999981,5.73917549266104
"6067...22582","calibration","pH",5.80000019,5.72288702482679
"7004","calibration","pH",5.69999981,5.46951628131023
"5637...22584","calibration","pH",5.30000019,5.28603417278799
"1276...22585","calibration","pH",6.02,5.86766782293497
"1432...22586","calibration","pH",5.58,5.72120660910634
"7006","calibration","pH",5.69999981,5.29054800716619
"8254...22588","calibration","pH",5.19999981,4.82922778870748
"6934...22589","calibration","pH",5.5,5.45280581166007
"1274...22590","calibration","pH",6.26,6.03389389756059
"8511...22591","calibration","pH",6,5.95566382150978
"1378...22592","calibration","pH",5.35,5.67949240121694
"8168...22593","calibration","pH",5.1,5.60142630462009
"4642...22594","calibration","pH",5.5999999,5.32207676233965
"4136...22595","calibration","pH",5.4000001,5.03954570460627
"1272...22596","calibration","pH",6.02,5.92892556259203
