"","type","variable","obs","pred"
"8543...17810","calibration","P retention",22,26.0217574580357
"7566...17811","calibration","P retention",41,41.0134003268092
"7579...17812","calibration","P retention",45,48.6217964318507
"4159...17813","calibration","P retention",97,87.9462100451568
"7763...17814","calibration","P retention",11,14.1066627593798
"1632...17815","calibration","P retention",61,61.2015130445675
"1128...17816","calibration","P retention",22,27.7157737609454
"7348...17817","calibration","P retention",25,25.403546868717
"4576...17818","calibration","P retention",97,92.2949119804855
"1698...17819","calibration","P retention",36,40.1506841774932
"6551...17820","calibration","P retention",94,82.2482504587177
"1142...17821","calibration","P retention",32,32.712968354153
"4571...17822","calibration","P retention",99,96.6435445765824
"6475...17823","calibration","P retention",29,22.7986606299442
"7248...17824","calibration","P retention",29,27.6485882973785
"1700...17825","calibration","P retention",39,37.4392593497527
"7764...17826","calibration","P retention",12,15.1307188488786
"5928...17827","calibration","P retention",79,69.7183632719721
"3787...17828","calibration","P retention",46,45.7514215850504
"6539...17829","calibration","P retention",62,63.4164860780968
"7872...17830","calibration","P retention",20,20.8656972455324
"1130...17831","calibration","P retention",24,27.7314014477814
"6988...17832","calibration","P retention",73,66.4034629261541
"1772...17833","calibration","P retention",18.98989899,8.40801942952967
"8217...17834","calibration","P retention",14,12.7686360522567
"1140...17835","calibration","P retention",34,29.8372154540484
"4017...17836","calibration","P retention",24,18.6802476849681
"6541...17837","calibration","P retention",65,59.8813015915354
"1692...17838","calibration","P retention",59,59.8537178438888
"5948...17839","calibration","P retention",86,84.1325884883304
"8299...17840","calibration","P retention",90,85.5702740120362
"7862...17841","calibration","P retention",18,26.649961266056
"6675...17842","calibration","P retention",10,24.0232323746969
"5940...17843","calibration","P retention",66,69.0762298195359
"8201...17844","calibration","P retention",16,14.8232173790602
"6405...17845","calibration","P retention",21,19.6917978786253
"1466...17846","calibration","P retention",24.873590043,21.8650078104619
"3804...17847","calibration","P retention",27,29.2701308101011
"1166...17848","calibration","P retention",24,26.3607281432035
"1400...17849","calibration","P retention",33.599043444,26.8026112905431
