"","type","variable","obs","pred"
"7566...5747","calibration","clay",22,26.7352669651237
"4159...5748","calibration","clay",20,28.7966156981359
"7348...5749","calibration","clay",20,25.6499218529087
"7763...5750","calibration","clay",35,40.1492858334728
"7579...5751","calibration","clay",27,30.7259778028289
"8543...5752","calibration","clay",18,23.3801973720143
"2168...5753","calibration","clay",31,30.7804782169625
"2156...5754","calibration","clay",31,28.9671241512736
"6539...5755","calibration","clay",30.9799995,29.5299060656101
"4577...5756","calibration","clay",32,26.3864965895261
"4954...5757","calibration","clay",23,26.262851507259
"4990...5758","calibration","clay",36.3800011,29.2537554139083
"6366...5759","calibration","clay",33.0600014,27.6481688498906
"1633...5760","calibration","clay",23,31.1060977642777
"7765...5761","calibration","clay",35,40.1555549401118
"2160...5762","calibration","clay",32,29.5839107358358
"1701...5763","calibration","clay",33,34.9647105726152
"2172...5764","calibration","clay",30,29.3364521493249
"1143...5765","calibration","clay",43,42.9899571384925
"1167...5766","calibration","clay",35,35.5420626247761
"7986...5767","calibration","clay",47,41.4837247822948
"2220...5768","calibration","clay",29,35.247144477344
"6405...5769","calibration","clay",21.6599998,23.0623383708019
"1623...5770","calibration","clay",29,30.8414737508944
"4989...5771","calibration","clay",35,30.007971496817
"4162...5772","calibration","clay",37,31.8543730549995
"1467...5773","calibration","clay",27,28.8832668812198
"8201...5774","calibration","clay",22,21.4841437436609
"1527...5775","calibration","clay",28,26.8098785141398
"4017...5776","calibration","clay",22,22.4141603022493
"3768...5777","calibration","clay",23,23.2559449432375
"1319...5778","calibration","clay",29,20.6491757567683
"8200...5779","calibration","clay",23,21.5795083128822
"1401...5780","calibration","clay",20,31.2809751468578
"1331...5781","calibration","clay",26,20.9220748995454
"1045...5782","calibration","clay",20,25.7321876729924
"1291...5783","calibration","clay",37,36.0836808944825
"1417...5784","calibration","clay",29,29.5615638764691
"2262...5785","calibration","clay",31,36.6128012594548
"1705...5786","calibration","clay",35,32.0781267540478
"7872...5787","calibration","clay",16,19.8880956639879
"695...5788","calibration","clay",16,17.8215887081586
"1165...5789","calibration","clay",34,35.2794961673002
"8244...5790","calibration","clay",26,25.0362180120794
"7837...5791","calibration","clay",34,32.0671745715213
"3963...5792","calibration","clay",25,34.9452747728739
"1415...5793","calibration","clay",26,28.9345910668342
"6675...5794","calibration","clay",19.75,23.3264022155746
"4966...5795","calibration","clay",25.9899998,22.819894380221
"6551...5796","calibration","clay",34,29.8538531249822
"1649...5797","calibration","clay",34,27.3350801049013
"1469...5798","calibration","clay",30,31.1577715249427
"2260...5799","calibration","clay",29,35.7264999026893
"8186...5800","calibration","clay",41,23.6261602782899
"6528...5801","calibration","clay",32.2299995,28.9725754524201
"6475...5802","calibration","clay",25.9200001,35.374620661183
"8188...5803","calibration","clay",26,25.857625605593
"8542...5804","calibration","clay",19,24.1898136427606
"8350...5805","calibration","clay",16,20.9654247762306
"1113...5806","calibration","clay",28,28.309625404874
"2196...5807","calibration","clay",30,29.8513841974148
"4807...5808","calibration","clay",35.8600006,36.4712363589607
"5564...5809","calibration","clay",14.7799997,15.166933124591
"8242...5810","calibration","clay",29,24.7142106240761
"845...5811","calibration","clay",24,27.3980510692218
"6672...5812","calibration","clay",25,30.5510105823051
"8352...5813","calibration","clay",19,21.2626972931491
"1287...5814","calibration","clay",22,28.478663865091
"6369...5815","calibration","clay",46.0699997,41.5892109341753
"1407...5816","calibration","clay",24,26.7612496569718
"1403...5817","calibration","clay",17,17.8930317915026
"4158...5818","calibration","clay",23,21.5586091711864
"1032...5819","calibration","clay",21,26.162592412524
"1419...5820","calibration","clay",16,12.8837604851653
"4508...5821","calibration","clay",69.1399994,59.1735418237778
"8417...5822","calibration","clay",44,47.0196454210452
"4078...5823","calibration","clay",28,22.7185276776411
"7819...5824","calibration","clay",25,23.78800991349
"4161...5825","calibration","clay",30,33.9828475834276
"1647...5826","calibration","clay",29,29.8334331598815
"5940...5827","calibration","clay",37,37.798186798719
"1593...5828","calibration","clay",23,27.4034404437241
"1765...5829","calibration","clay",23,27.1725681713679
"4576...5830","calibration","clay",36,29.1525753476367
"3804...5831","calibration","clay",6,11.3139549476748
"4290...5832","calibration","clay",3.0999999,7.56791010656171
"1080...5833","calibration","clay",23,25.0447904174094
"1141...5834","calibration","clay",43,45.8059276662871
"4985...5835","calibration","clay",36,30.2259878286296
"1367...5836","calibration","clay",26,28.0565629414379
"893...5837","calibration","clay",39,35.7384963777259
"8302...5838","calibration","clay",17,14.6424112837539
"3781...5839","calibration","clay",21,26.8068380107692
"6095...5840","calibration","clay",33.4099998,33.5281693886632
"2218...5841","calibration","clay",28,31.4458165825418
"2033...5842","calibration","clay",22,26.6048097928758
"4965...5843","calibration","clay",23.8400002,27.3672564828299
"6093...5844","calibration","clay",37.5600014,41.8118670969175
"4004...5845","calibration","clay",17.8299999,17.6805636699929
"697...5846","calibration","clay",6,6.34440459611066
"1068...5847","calibration","clay",19,20.5844610666334
"1549...5848","calibration","clay",38,32.5411199077241
"5948...5849","calibration","clay",16.9799995,25.6927962397713
"1083...5850","calibration","clay",11,16.6669222998709
"4291...5851","calibration","clay",4.19000006,7.25700616570532
"6370...5852","calibration","clay",44.7099991,38.8355932514712
"8337...5853","calibration","clay",19,25.3809502006123
"5969...5854","calibration","clay",24.25,34.0989540124969
"4571...5855","calibration","clay",45,30.4677844886767
"1153...5856","calibration","clay",29,28.706220650901
"4955...5857","calibration","clay",23.2600002,25.8519658646156
"1057...5858","calibration","clay",23,24.8546467098959
"2320...5859","calibration","clay",25,27.7888409850527
"1851...5860","calibration","clay",24,27.3347507461242
"1111...5861","calibration","clay",29,29.2129726334344
"8246...5862","calibration","clay",28,27.989513977789
"8241...5863","calibration","clay",26,27.7134804909739
"1735...5864","calibration","clay",18,24.3613913657995
"7875...5865","calibration","clay",15,17.4419824634362
"4299...5866","calibration","clay",4.59000015,3.81865226302737
"2174...5867","calibration","clay",30,29.5665949715205
"8421...5868","calibration","clay",46,49.6698768646282
"6709...5869","calibration","clay",35.7799988,36.4976587416975
"1679...5870","calibration","clay",31,25.1257029439892
"869...5871","calibration","clay",16,19.1980676436566
"8002...5872","calibration","clay",24,24.5757861777919
"2318...5873","calibration","clay",25,27.1715020995475
"4799...5874","calibration","clay",53,42.561527818874
"8562...5875","calibration","clay",16,12.2386047703689
"1043...5876","calibration","clay",27,25.3351525653654
"1523...5877","calibration","clay",29,24.0743669110467
"1665...5878","calibration","clay",29,27.4118349565564
"1695...5879","calibration","clay",13,21.8456512185501
"4133...5880","calibration","clay",18,17.4150890318458
"6092...5881","calibration","clay",40.2599983,39.6371591821482
"859...5882","calibration","clay",24,28.5697294165187
"1421...5883","calibration","clay",18,16.3240523366686
"4003...5884","calibration","clay",17.3400002,18.5352810146745
"3515...5885","calibration","clay",7,7.8944446996552
"1591...5886","calibration","clay",22,26.4588209941874
"1321...5887","calibration","clay",27,22.9464092233194
"8300...5888","calibration","clay",25,20.0263878395782
"1463...5889","calibration","clay",15,14.6342726168794
"1035...5890","calibration","clay",19,18.910380328994
"8385...5891","calibration","clay",27,30.4076558738225
"8303...5892","calibration","clay",17,17.0060424836163
"4798...5893","calibration","clay",47,36.2522359927743
"1301...5894","calibration","clay",28,29.6113387421933
"1677...5895","calibration","clay",27,26.0071906687477
"6529...5896","calibration","clay",11.0100002,19.0587056883937
"4507...5897","calibration","clay",75,64.6768463066145
"1123...5898","calibration","clay",26,25.7193860662994
"2009...5899","calibration","clay",30,29.657994721304
"693...5900","calibration","clay",25,23.1499226940746
"8203...5901","calibration","clay",21,21.0442987675013
"1639...5902","calibration","clay",4,4.88982383863762
"849...5903","calibration","clay",26,26.0047717492433
"1047...5904","calibration","clay",13,15.3568198626879
"6920...5905","calibration","clay",26.4899998,23.8032253593246
"7565...5906","calibration","clay",26,29.1115980923123
"1681...5907","calibration","clay",27,26.5414417397045
"1621...5908","calibration","clay",27,29.8451336535951
"6568...5909","calibration","clay",25.6000004,24.4431780028289
"1115...5910","calibration","clay",27,26.8202652064765
"5920...5911","calibration","clay",25.1900005,24.1330394701064
"731...5912","calibration","clay",32,29.3613604258104
"5566...5913","calibration","clay",11.0100002,13.3939220982757
"1067...5914","calibration","clay",23,25.8719909216416
"6384...5915","calibration","clay",30.1599998,19.9592127796225
"1465...5916","calibration","clay",19,15.8674854917002
"5929...5917","calibration","clay",33.7799988,31.3288947643642
"2222...5918","calibration","clay",22,24.833479249883
"6094...5919","calibration","clay",34.2099991,33.467014975458
"871...5920","calibration","clay",16,17.5864665561339
"1311...5921","calibration","clay",28,27.6301852692349
"3918...5922","calibration","clay",24,22.0553745458337
"905...5923","calibration","clay",39,37.1938286181781
"3688...5924","calibration","clay",14,11.4547598131284
"2035...5925","calibration","clay",15,19.2452936427585
"4009...5926","calibration","clay",19.2900009,23.3390416037771
"4138...5927","calibration","clay",12,18.9884746536155
"1333...5928","calibration","clay",27,21.2101970402412
"6029...5929","calibration","clay",19.0200005,14.6576853487699
"1767...5930","calibration","clay",24,27.4698637694356
"3808...5931","calibration","clay",24,25.3905275870197
"907...5932","calibration","clay",38,37.951203696495
"1733...5933","calibration","clay",25,24.0516903141153
"1771...5934","calibration","clay",26,24.666715185011
"1783...5935","calibration","clay",29,26.1328338759033
"895...5936","calibration","clay",38,37.0321347523112
"1795...5937","calibration","clay",28,27.6929999564879
"7564...5938","calibration","clay",26,28.0188107336575
"6444...5939","calibration","clay",34.1699982,34.6271783444369
"4800...5940","calibration","clay",55,43.4353755746873
"3969...5941","calibration","clay",23.25,20.1316129794344
"881...5942","calibration","clay",18,19.9921620585388
"3730...5943","calibration","clay",35,35.7856212246143
"1875...5944","calibration","clay",20,19.6436109182587
"3933...5945","calibration","clay",33.0400009,28.4249230566048
"1091...5946","calibration","clay",31,28.8442906543622
"1121...5947","calibration","clay",26,27.6891051296787
"7580...5948","calibration","clay",27,27.1828706001983
"7540...5949","calibration","clay",17,20.5948131456614
"5936...5950","calibration","clay",43,38.3217898989641
"1793...5951","calibration","clay",26,25.0155975361725
"7542...5952","calibration","clay",15,19.1257359205231
"1543...5953","calibration","clay",27,24.2579944521494
"1799...5954","calibration","clay",26,23.9043053401226
"3401...5955","calibration","clay",5,9.15574971008803
"5937...5956","calibration","clay",32.4900017,30.4316674064463
"4501...5957","calibration","clay",1,3.0403098274075
"2316...5958","calibration","clay",27,30.7242582816116
"5966...5959","calibration","clay",44.0999985,37.5514636353721
"434...5960","calibration","clay",28,30.4252934837579
"1707...5961","calibration","clay",40,34.2375744625432
"4157...5962","calibration","clay",27,24.0329775054342
"1876...5963","calibration","clay",20,21.1626007964072
"2184...5964","calibration","clay",25,25.2873297877181
"1021...5965","calibration","clay",20,23.5611069285694
"1618...5966","calibration","clay",33,30.0954073518965
"3796...5967","calibration","clay",17,14.8111843207549
"1571...5968","calibration","clay",26,23.8639823479314
"7547...5969","calibration","clay",6,15.1107360439904
"7550...5970","calibration","clay",16,19.5426670674772
"432...5971","calibration","clay",27,29.917659064783
"1801...5972","calibration","clay",28,28.3777605742838
"8415...5973","calibration","clay",47,41.9096647495503
"883...5974","calibration","clay",19,23.6669443407
"1313...5975","calibration","clay",30,26.574394364534
"1575...5976","calibration","clay",26,21.6403474023896
"1177...5977","calibration","clay",22,27.1449841226975
"1837...5978","calibration","clay",25,26.1715034883997
"1147...5979","calibration","clay",42,35.0012259588516
"1273...5980","calibration","clay",24,25.7093192776678
"1829...5981","calibration","clay",26,24.3088184557802
"7898...5982","calibration","clay",31,29.1351079521859
"3972...5983","calibration","clay",22.6599998,18.0896490269409
"1843...5984","calibration","clay",29,27.2532103013229
"1669...5985","calibration","clay",36,27.3420912673814
"5636...5986","calibration","clay",19.1299992,20.1585261802272
"7912...5987","calibration","clay",28,26.1340057075021
"6502...5988","calibration","clay",9,10.2587923505448
"1999...5989","calibration","clay",17,26.0027659886053
"6501...5990","calibration","clay",8,12.9072156948802
"1925...5991","calibration","clay",22,22.9095092848533
"7874...5992","calibration","clay",21,21.8595226451627
"4192...5993","calibration","clay",23,20.0862367561188
"707...5994","calibration","clay",11,13.5611262464625
"1109...5995","calibration","clay",26,27.8489041002332
"2182...5996","calibration","clay",25,26.6536239167204
"4984...5997","calibration","clay",35,25.665046154402
"4983...5998","calibration","clay",38,34.3435558787644
"4121...5999","calibration","clay",20,19.8793410049007
"1813...6000","calibration","clay",26,26.8091189353046
"1519...6001","calibration","clay",15,13.4102969042567
"4433...6002","calibration","clay",22,18.2568642527971
"1841...6003","calibration","clay",25,25.7974904443119
